match_id,historical_match_id,source,competition,home_team,away_team,actual_scoreline,is_large_score,lambda_home,lambda_away,data_quality_score,egci_v2,egci_v2_quality,acg_favorite,acg_v2_quality,underdog_fragility,chase_pressure,cold_guard_active,must_win_no_convert,deep_handicap_contra,eventflow_degraded,confirmed_event_timeline,eligible_for_tail_backtest
SB-3753768,SB-3753768,statsbomb_open,FIFA World Cup,Spain,Netherlands,1-5,true,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,true,true
SB-3753823,SB-3753823,statsbomb_open,FIFA World Cup,Germany,Portugal,4-0,true,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,true,true
SB-3753890,SB-3753890,statsbomb_open,FIFA World Cup,England,Uruguay,1-2,false,1.3,1.0,0.8,0.93,real,0.5,proxy,0.651,0.465,false,false,false,false,true,true
SB-3753934,SB-3753934,statsbomb_open,FIFA World Cup,France,Nigeria,2-0,false,1.3,1.0,0.8,0.85,real,0.5,proxy,0.595,0.425,false,false,false,false,true,true
SB-3754108,SB-3754108,statsbomb_open,FIFA World Cup,Colombia,Greece,3-0,true,1.3,1.0,0.8,0.93,real,0.5,proxy,0.651,0.465,false,false,false,false,true,true
SB-3754155,SB-3754155,statsbomb_open,FIFA World Cup,Belgium,Algeria,2-1,false,1.3,1.0,0.8,0.93,real,0.5,proxy,0.651,0.465,false,false,false,false,true,true
SB-3754201,SB-3754201,statsbomb_open,FIFA World Cup,Brazil,Germany,1-7,true,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,true,true
SB-3754245,SB-3754245,statsbomb_open,FIFA World Cup,Netherlands,Brazil,3-0,true,1.3,1.0,0.8,0.93,real,0.5,proxy,0.651,0.465,false,false,false,false,true,true
SB-3788741,SB-3788741,statsbomb_open,FIFA Women's World Cup,United States,Thailand,13-0,true,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,true,true
SB-3788788,SB-3788788,statsbomb_open,FIFA Women's World Cup,England,Japan,2-0,false,1.3,1.0,0.8,0.85,real,0.5,proxy,0.595,0.425,false,false,false,false,true,true
SB-3869620,SB-3869620,statsbomb_open,Copa America,Uruguay,Japan,4-3,true,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,true,true
SB-3869685,SB-3869685,statsbomb_open,Copa America,Brazil,Argentina,2-0,false,1.3,1.0,0.8,0.85,real,0.5,proxy,0.595,0.425,false,false,false,false,true,true
SB-3929844,SB-3929844,statsbomb_open,FIFA World Cup,Spain,Costa Rica,7-0,true,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,true,true
SB-3929991,SB-3929991,statsbomb_open,FIFA World Cup,Portugal,Switzerland,6-1,true,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,true,true
SB-3930102,SB-3930102,statsbomb_open,FIFA World Cup,France,Morocco,2-0,false,1.3,1.0,0.8,0.85,real,0.5,proxy,0.595,0.425,false,false,false,false,true,true
SB-3930158,SB-3930158,statsbomb_open,FIFA World Cup,Argentina,France,3-3,true,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,true,true
SB-3999012,SB-3999012,statsbomb_open,UEFA Euro,France,Albania,2-0,false,1.3,1.0,0.8,0.85,real,0.5,proxy,0.595,0.425,false,false,false,false,true,true
SB-3999088,SB-3999088,statsbomb_open,UEFA Euro,Hungary,Portugal,3-3,true,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,true,true
SB-3999147,SB-3999147,statsbomb_open,UEFA Euro,England,Iceland,1-2,false,1.3,1.0,0.8,0.93,real,0.5,proxy,0.651,0.465,false,false,false,false,true,true
