historical_match_id,source,competition,season,match_date,home_team,away_team,neutral_venue,home_score,away_score,total_goals,winner,home_xg,away_xg,data_quality,event_timeline_available,lineup_available,match_stats_available,eligible_for_tail_backtest,is_large_score,large_score_type,favorite_side,favorite_score,underdog_score,favorite_margin,actual_scoreline
WC2026-C29,finished_wc2026,WC2026,2026,2026-06-19,Brazil,Haiti,false,3,0,3,home,1.75,0.23,0.75,false,false,true,true,true,favorite_clean_win_3plus,home,3,0,3,3-0
WC2026-C30,finished_wc2026,WC2026,2026,2026-06-19,Scotland,Morocco,false,0,1,1,away,0.51,0.99,0.75,false,false,true,true,false,not_large_score,away,1,0,1,0-1
WC2026-D31,finished_wc2026,WC2026,2026,2026-06-19,Turkey,Paraguay,false,0,1,1,away,2.17,0.32,0.75,false,false,true,true,false,not_large_score,home,1,0,0,0-1
WC2026-D32,finished_wc2026,WC2026,2026,2026-06-19,USA,Australia,false,2,0,2,home,1.08,0.35,0.75,false,false,true,true,false,not_large_score,away,2,0,0,2-0
SB-3753768,statsbomb_open,FIFA World Cup,2014,2014-06-13,Spain,Netherlands,false,1,5,6,away,,,0.80,true,true,false,true,true,extreme_tail_warning,home,5,1,0,1-5
SB-3753823,statsbomb_open,FIFA World Cup,2014,2014-06-16,Germany,Portugal,false,4,0,4,home,,,0.80,true,true,false,true,true,favorite_clean_win_3plus,home,4,0,4,4-0
SB-3753890,statsbomb_open,FIFA World Cup,2014,2014-06-24,England,Uruguay,false,1,2,3,away,,,0.80,true,true,false,true,false,not_large_score,home,2,1,0,1-2
SB-3753934,statsbomb_open,FIFA World Cup,2014,2014-06-28,France,Nigeria,false,2,0,2,home,,,0.80,true,true,false,true,false,not_large_score,home,2,0,2,2-0
SB-3754012,statsbomb_open,FIFA World Cup,2014,2014-07-04,Netherlands,Costa Rica,false,0,0,0,draw,,,0.50,false,true,false,false,false,not_large_score,home,0,0,0,0-0
SB-3754108,statsbomb_open,FIFA World Cup,2014,2014-06-14,Colombia,Greece,false,3,0,3,home,,,0.80,true,true,false,true,true,favorite_clean_win_3plus,home,3,0,3,3-0
SB-3754155,statsbomb_open,FIFA World Cup,2014,2014-06-19,Belgium,Algeria,false,2,1,3,home,,,0.80,true,true,false,true,false,not_large_score,home,2,1,1,2-1
SB-3754201,statsbomb_open,FIFA World Cup,2014,2014-07-08,Brazil,Germany,false,1,7,8,away,,,0.80,true,true,false,true,true,extreme_tail_warning,home,7,1,0,1-7
SB-3754245,statsbomb_open,FIFA World Cup,2014,2014-07-12,Netherlands,Brazil,false,3,0,3,home,,,0.80,true,true,false,true,true,favorite_clean_win_3plus,away,3,0,0,3-0
SB-3788741,statsbomb_open,FIFA Women's World Cup,2019,2019-06-11,United States,Thailand,false,13,0,13,home,,,0.80,true,true,false,true,true,extreme_tail_warning,home,13,0,13,13-0
