snapshot_id,match_id,group,team,points_before,played_before,wins_before,draws_before,losses_before,gf_before,ga_before,gd_before,rank_before,remaining_matches,remaining_opponents,can_qualify_if_win,can_qualify_if_draw,elimination_risk_if_loss,draw_utility,win_necessity,round_before,path_state,state_reason_code,p_finish_1,p_finish_2,p_finish_3,p_finish_4,p_top2,p_best8_third,p_advance
V37_PRE_WC2026-F11,WC2026-F11,F,Netherlands,0,0,0,0,0,0,0,0,4,3,Sweden;Tunisia,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1653,0.6653
V37_PRE_WC2026-F11,WC2026-F11,F,Japan,0,0,0,0,0,0,0,0,1,3,Sweden;Tunisia,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1653,0.6653
V37_PRE_WC2026-F12,WC2026-F12,F,Sweden,0,0,0,0,0,0,0,0,3,3,Japan;Netherlands,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1659,0.6659
V37_PRE_WC2026-F12,WC2026-F12,F,Tunisia,0,0,0,0,0,0,0,0,4,3,Japan;Netherlands,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1659,0.6659
V37_PRE_WC2026-H13,WC2026-H13,H,Saudi Arabia,0,0,0,0,0,0,0,0,4,3,Cape Verde;Spain,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
V37_PRE_WC2026-H13,WC2026-H13,H,Uruguay,0,0,0,0,0,0,0,0,3,3,Cape Verde;Spain,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
V37_PRE_WC2026-H14,WC2026-H14,H,Spain,0,0,0,0,0,0,0,0,2,3,Saudi Arabia;Uruguay,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
V37_PRE_WC2026-H14,WC2026-H14,H,Cape Verde,0,0,0,0,0,0,0,0,4,3,Saudi Arabia;Uruguay,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
V37_PRE_WC2026-G15,WC2026-G15,G,Iran,0,0,0,0,0,0,0,0,4,3,Belgium;Egypt,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1638,0.6638
V37_PRE_WC2026-G15,WC2026-G15,G,New Zealand,0,0,0,0,0,0,0,0,3,3,Belgium;Egypt,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1638,0.6638
V37_PRE_WC2026-G16,WC2026-G16,G,Belgium,0,0,0,0,0,0,0,0,3,3,Iran;New Zealand,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
V37_PRE_WC2026-G16,WC2026-G16,G,Egypt,0,0,0,0,0,0,0,0,4,3,Iran;New Zealand,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
V37_PRE_WC2026-I17,WC2026-I17,I,France,0,0,0,0,0,0,0,0,1,3,Iraq;Norway,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
V37_PRE_WC2026-I17,WC2026-I17,I,Senegal,0,0,0,0,0,0,0,0,2,3,Iraq;Norway,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
V37_PRE_WC2026-I18,WC2026-I18,I,Iraq,0,0,0,0,0,0,0,0,3,3,France;Senegal,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
