match_id,provider_match_id,competition,season,stage,group,round,home_team,away_team,kickoff_utc,venue,city,country,status,home_score,away_score,home_ht_score,away_ht_score
WC2026-I41,41,WC2026,2026,group,I,2,Norway,Senegal,2026-06-22T20:00:00Z,MetLife Stadium,New York/New Jersey,USA,scheduled,,,,
WC2026-I42,42,WC2026,2026,group,I,2,France,Iraq,2026-06-22T17:00:00Z,Lincoln Financial Field,Philadelphia,USA,scheduled,,,,
WC2026-J43,43,WC2026,2026,group,J,2,Argentina,Austria,2026-06-22T12:00:00Z,AT&T Stadium,Dallas,USA,scheduled,,,,
WC2026-J44,44,WC2026,2026,group,J,2,Jordan,Algeria,2026-06-22T20:00:00Z,Levi's Stadium,San Francisco Bay Area,USA,scheduled,,,,
WC2026-L45,45,WC2026,2026,group,L,2,England,Ghana,2026-06-23T16:00:00Z,Gillette Stadium,Boston,USA,scheduled,,,,
WC2026-L46,46,WC2026,2026,group,L,2,Panama,Croatia,2026-06-23T19:00:00Z,BMO Field,Toronto,Canada,scheduled,,,,
WC2026-K47,47,WC2026,2026,group,K,2,Portugal,Uzbekistan,2026-06-23T12:00:00Z,NRG Stadium,Houston,USA,scheduled,,,,
WC2026-K48,48,WC2026,2026,group,K,2,Colombia,DR Congo,2026-06-23T20:00:00Z,Estadio Akron,Guadalajara,Mexico,scheduled,,,,
WC2026-C49,49,WC2026,2026,group,C,3,Scotland,Brazil,2026-06-24T18:00:00Z,Hard Rock Stadium,Miami,USA,scheduled,,,,
WC2026-C50,50,WC2026,2026,group,C,3,Morocco,Haiti,2026-06-24T18:00:00Z,Mercedes-Benz Stadium,Atlanta,USA,scheduled,,,,
WC2026-B51,51,WC2026,2026,group,B,3,Switzerland,Canada,2026-06-24T12:00:00Z,BC Place,Vancouver,Canada,scheduled,,,,
WC2026-B52,52,WC2026,2026,group,B,3,Bosnia and Herzegovina,Qatar,2026-06-24T12:00:00Z,Lumen Field,Seattle,USA,scheduled,,,,
WC2026-A53,53,WC2026,2026,group,A,3,Czechia,Mexico,2026-06-24T19:00:00Z,Estadio Azteca,Mexico City,Mexico,scheduled,,,,
