match_date,group,team,opponent,player,position,minutes,goals,assists,shots,xg,xa,key_passes,rating,big_chances,source,source_url,quality_flag
2026-06-12,A,South Korea,Czechia,Seung-Gyu KIM,GK,90,0,0,,,,,7.7,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,South Korea,Czechia,Han-Beom LEE,DF,90,0,0,1,0.04,0.03,0,7.1,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,South Korea,Czechia,Min-Jae KIM,DF,90,0,0,,,0.01,2,7.4,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,South Korea,Czechia,Gi-Hyuk LEE,DF,90,0,0,,,0.02,0,7.6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,South Korea,Czechia,Young-Woo SEOL,DF,90,0,0,,,0.05,1,6.9,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,South Korea,Czechia,In-Beom HWANG,MF,84,1,1,3,0.36,0.5,1,8.9,1,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,South Korea,Czechia,Seung-Ho PAIK,MF,84,0,0,,,0.05,0,7.3,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,South Korea,Czechia,Tae-Seok LEE,MF,69,0,0,,,0.34,2,6.9,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,South Korea,Czechia,Kang-In LEE,MF,90,0,1,1,0.02,0.21,3,8.4,1,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,South Korea,Czechia,Jae-Sung LEE,MF,62,0,0,2,0.45,0.1,3,7.4,1,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,South Korea,Czechia,Heung-Min SON,FW,69,0,0,6,1.01,0.04,1,6.9,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,South Korea,Czechia,Hyun-Gyu OH,FW,21,1,0,1,0.37,,1,7.5,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,South Korea,Czechia,Ji-Sung EOM,FW,21,0,0,,,0.01,0,6.6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
