national_team,team_code,group,roster_player,roster_position,roster_club,matched_player,club,league,season,matches_played,minutes,goals,assists,shots,key_passes,xg,npxg,xa,xg_per90,xa_per90,source,source_url,last_verified,match_confidence,recommended_weight,notes
New Zealand,NZL,G,Finn SURMAN,DF,Portland Timbers (USA),Finn Surman,Portland Timbers FC,Major League Soccer,2026,,1392,0,1,4,4,0.5267,,0.1823,0.034,0.012,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Panama,PAN,L,Anibal GODOY,MF,San Diego FC (USA),Aníbal Godoy,San Diego FC,Major League Soccer,2026,,891,0,1,1,3,0.0287,,0.7534,0.003,0.076,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Paraguay,PAR,D,Matias GALARZA,MF,Atlanta United FC (USA),Matías Galarza,Atlanta United FC,Major League Soccer,2026,,735,0,0,18,9,1.3031,,0.5674,0.16,0.069,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Paraguay,PAR,D,Braian OJEDA,MF,Orlando City SC (USA),Braian Ojeda,Orlando City SC,Major League Soccer,2026,,1525,0,1,11,9,0.3539,,1.102,0.021,0.065,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
South Africa,RSA,A,Mbekezeli MBOKAZI,DF,Chicago Fire FC (USA),Mbekezeli Mbokazi,Chicago Fire FC,Major League Soccer,2026,,1195,0,0,7,1,0.6779,,0.3845,0.051,0.029,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
South Africa,RSA,A,Olwethu MAKHANYA,DF,Philadelphia Union (USA),Olwethu Makhanya,Philadelphia Union,Major League Soccer,2026,,1324,0,0,6,5,0.4191,,0.4095,0.028,0.028,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
South Korea,KOR,A,Heungmin SON,FW,LAFC (USA),Son Heung-Min,Los Angeles FC,Major League Soccer,2026,,1162,0,8,39,28,4.2659,,3.8816,0.33,0.301,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_high,0.5,ASA official advanced stats. season=2026; match_ratio=0.867. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Sweden,SWE,F,Herman JOHANSSON,DF,FC Dallas (USA),Herman Johansson,FC Dallas,Major League Soccer,2026,,1124,0,2,2,16,0.1252,,2.5483,0.01,0.204,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
USA,USA,D,Tim REAM,DF,Charlotte FC (USA),Tim Ream,Charlotte FC,Major League Soccer,2026,,1059,0,1,1,1,0.0454,,0.221,0.004,0.019,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
USA,USA,D,Chris BRADY,GK,Chicago Fire FC (USA),Chris Brady,Chicago Fire FC,Major League Soccer,2026,,1440,0,0,0,0,0,,0,0.0,0.0,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
USA,USA,D,Max ARFSTEN,DF,Columbus Crew (USA),Max Arfsten,Columbus Crew,Major League Soccer,2026,,1436,4,4,19,22,3.0178,,3.0519,0.189,0.191,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
USA,USA,D,Miles ROBINSON,DF,FC Cincinnatti (USA),Miles Robinson,FC Cincinnati,Major League Soccer,2026,,678,0,0,3,0,0.5589,,0,0.074,0.0,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
USA,USA,D,Matt TURNER,GK,New England Revolution (USA),Matt Turner,New England Revolution,Major League Soccer,2026,,1432,0,0,0,0,0,,0,0.0,0.0,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
USA,USA,D,Matt FREESE,GK,New York City FC (USA),Matt Freese,New York City FC,Major League Soccer,2026,,1520,0,0,1,0,0.0447,,0,0.003,0.0,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
USA,USA,D,Cristian ROLDAN,MF,Seattle Sounders FC (USA),Cristian Roldan,Seattle Sounders FC,Major League Soccer,2026,,1080,3,0,16,6,0.9576,,0.7011,0.08,0.058,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Uruguay,URU,H,Juan SANABRIA,MF,Real Salt Lake (USA),Juan Manuel Sanabria,Real Salt Lake,Major League Soccer,2026,,1037,0,4,12,16,0.5867,,1.637,0.051,0.142,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_high,0.5,ASA official advanced stats. season=2026; match_ratio=0.891. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
