team,strength_rank,opponent_strength_index,attack_percentile,defense_percentile,xgd_percentile,sample_size_percentile,weighted_matches,quality_flag,source,last_verified,notes
Senegal,15,0.617,0.681,0.489,0.702,0.638,17.6,ok,team_recent_form.csv,2026-06-15,Relative strength index from weighted xG/xGA/xGD and sample size. Higher is stronger.
South Africa,19,0.577,0.383,0.787,0.617,0.255,13.2,ok,team_recent_form.csv,2026-06-15,Relative strength index from weighted xG/xGA/xGD and sample size. Higher is stronger.
South Korea,12,0.775,0.787,0.766,0.766,0.809,20.8,ok,team_recent_form.csv,2026-06-15,Relative strength index from weighted xG/xGA/xGD and sample size. Higher is stronger.
Spain,2,0.933,1.0,0.894,1.0,0.404,14.0,ok,team_recent_form.csv,2026-06-15,Relative strength index from weighted xG/xGA/xGD and sample size. Higher is stronger.
Sweden,48,0.057,0.128,0.021,0.0,0.106,8.0,ok,team_recent_form.csv,2026-06-15,Relative strength index from weighted xG/xGA/xGD and sample size. Higher is stronger.
Switzerland,18,0.579,0.489,0.681,0.596,0.404,14.0,ok,team_recent_form.csv,2026-06-15,Relative strength index from weighted xG/xGA/xGD and sample size. Higher is stronger.
Tunisia,22,0.531,0.511,0.574,0.553,0.255,13.2,ok,team_recent_form.csv,2026-06-15,Relative strength index from weighted xG/xGA/xGD and sample size. Higher is stronger.
Turkey,32,0.359,0.617,0.085,0.34,0.574,16.0,ok,team_recent_form.csv,2026-06-15,Relative strength index from weighted xG/xGA/xGD and sample size. Higher is stronger.
USA,34,0.316,0.319,0.319,0.362,0.043,7.2,context_only,team_recent_form.csv,2026-06-15,Relative strength index from weighted xG/xGA/xGD and sample size. Higher is stronger.
Uruguay,42,0.197,0.106,0.234,0.128,0.915,22.8,ok,team_recent_form.csv,2026-06-15,Relative strength index from weighted xG/xGA/xGD and sample size. Higher is stronger.
Uzbekistan,23,0.509,0.66,0.277,0.574,0.745,20.0,ok,team_recent_form.csv,2026-06-15,Relative strength index from weighted xG/xGA/xGD and sample size. Higher is stronger.
