match_date,group,home_team,away_team,home_score,away_score,home_xg,away_xg,home_shots,away_shots,source,source_url,fetched_at,quality_flag,notes
2026-06-18,B,Canada,Qatar,6,0,4.60,0.22,32,2,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-qatar/14u9ym,2026-06-19T20:50:00+08:00,ok,possession 79-21; big chances 6-0
2026-06-18,A,Mexico,South Korea,1,0,0.48,0.69,8,9,FotMob/Opta,https://www.fotmob.com/en-GB/matches/mexico-vs-south-korea/1qpvav,2026-06-19T20:50:00+08:00,ok,possession 42-58; big chances 2-3
2026-06-19,C,Brazil,Haiti,3,0,1.75,0.23,8,7,FotMob/Opta,https://www.fotmob.com/matches/haiti-vs-brazil/1ny7ix,2026-06-20T15:17:19Z,full_metric_backfilled,score-only backfill; xG metrics pending; verified via FotMob/Opta match centre; score-only backfill; xG metrics pending; phase07_xg_metric_backfilled
2026-06-19,C,Scotland,Morocco,0,1,0.51,0.99,6,12,FotMob/Opta,https://www.fotmob.com/matches/morocco-vs-scotland/1sv292,2026-06-20T15:17:19Z,full_metric_backfilled,score-only backfill; xG metrics pending; verified via FIFA match report and ESPN; score-only backfill; xG metrics pending; phase07_xg_metric_backfilled
2026-06-19,D,Turkey,Paraguay,0,1,2.17,0.32,32,7,FotMob/Opta,https://www.fotmob.com/matches/turkiye-vs-paraguay/1gte1s,2026-06-20T15:17:19Z,full_metric_backfilled,score-only backfill; xG metrics pending; verified via FotMob/Opta match centre; score-only backfill; xG metrics pending; phase07_xg_metric_backfilled
2026-06-19,D,USA,Australia,2,0,1.08,0.35,10,5,FotMob/Opta,https://www.fotmob.com/matches/usa-vs-australia/1hox83,2026-06-20T15:17:19Z,full_metric_backfilled,score-only backfill; xG metrics pending; verified via FotMob/Opta and FIFA match report; score-only backfill; xG metrics pending; phase07_xg_metric_backfilled
2026-06-20,E,Germany,Ivory Coast,2,1,,,,,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/germany-ivory-coast-match-report-highlights,2026-06-21T10:34:54+0000,score_only_backfill,Undav brace; Germany through to knockouts; score-only backfill; xG metrics pending
2026-06-20,E,Ecuador,Curacao,0,0,,,,,Sky Sports,https://www.skysports.com/football/ecuador-vs-curacao/report/549799,2026-06-21T10:34:54+0000,score_only_backfill,Room 15 saves; Curacao first WC point; score-only backfill; xG metrics pending
2026-06-20,F,Netherlands,Sweden,5,1,,,,,ESPN,https://www.espn.co.uk/espn/story/_/id/49129183/2026-fifa-world-cup-recap-netherlands-sweden-germany-ivory-coast-ecuador-curacao-tunisia-japan,2026-06-21T10:34:54+0000,score_only_backfill,Gakpo and Brobbey braces; score-only backfill; xG metrics pending
2026-06-20,F,Tunisia,Japan,0,4,,,,,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/tunisia-japan-match-report-highlights,2026-06-21T10:34:54+0000,score_only_backfill,Ueda double; Tunisia eliminated; score-only backfill; xG metrics pending
