national_team,team_code,group,roster_player,roster_position,roster_club,matched_player,club,league,season,matches_played,minutes,goals,assists,shots,key_passes,xg,npxg,xa,xg_per90,xa_per90,source,source_url,last_verified,match_confidence,recommended_weight,notes
Qatar,QAT,B,Mohamed MOHAMED MANAI,FW,Al Shamal SC (QAT),Mohamed Naceur Almanai,Al Shamal,Qatar Stars League,2025/2026,19,1480,5,1,30,14,5.37,4.67,1.7,0.327,0.103,FootyStats,https://footystats.org/players/qatar/mohamed-naceur-almanai,2026-06-15,footystats_verified,0.45,Stars League 2025/2026; name variant Manai/Almanai; club Al Shamal matches.
Qatar,QAT,B,Assim ASSIM MADIBO,MF,Al Wakrah SC (QAT),Assim Omer Al Haj Madibo,Al Wakrah,Qatar Stars League,2025/2026,13,1089,0,0,4,3,0.21,0.21,1.14,0.017,0.094,FootyStats,https://footystats.org/players/qatar/assim-omer-al-haj-madibo,2026-06-15,footystats_verified,0.45,Stars League 2025/2026; club Al Wakrah matches roster.
Qatar,QAT,B,Yusuf YUSUF ABDURISAG,FW,Al Wakrah SC (QAT),Youssef Abdel Razaq Youssef,Al Wakrah,Qatar Stars League,2025/2026,18,1037,4,2,19,14,3.8,3.8,2.1,0.33,0.182,FootyStats,https://footystats.org/players/qatar/youssef-abdel-razaq-youssef,2026-06-15,footystats_verified,0.45,Stars League 2025/2026; Abdurisag listed as Youssef on FootyStats; club Al Wakrah matches.
Brazil,BRA,C,Roger ROGER IBANEZ,DF,Al Ahli FC (KSA),Roger Ibanez da Silva,Al Ahli,Saudi Pro League,2025/2026,28,2471,2,2,31,11,4.50,4.50,4.04,0.164,0.147,FootyStats,https://footystats.org/players/brazil/roger-ibanez-da-silva,2026-06-15,footystats_verified,0.45,Club Al Ahli matches roster; Professional League 2025/2026 totals.
Curacao,CUW,E,Jurien GAARI,DF,Abha Club (KSA),Jurien Gaari,Abha,Saudi Pro League,2025/2026,31,2790,0,0,4,7,0.21,0.21,2.19,0.007,0.071,FootyStats,https://footystats.org/players/curacao/jurien-gaari,2026-06-15,footystats_low,0.45,"Club Abha verified; FootyStats domestic section is Saudi First Division 2025/2026, not Professional League."
Egypt,EGY,G,Nabil NABIL DONGA,MF,Al Najmah SC (KSA),Nabil Emad,Al Najma,Saudi Pro League,2025/2026,12,915,0,0,6,4,0.28,0.28,0.84,0.028,0.083,FootyStats,https://footystats.org/players/egypt/nabil-emad,2026-06-15,footystats_verified,0.45,Nabil Emad (Donga) at Al Najma; Professional League 2025/2026 totals.
England,ENG,L,Ivan TONEY,FW,Al Ahli FC (KSA),Ivan Toney,Al Ahli,Saudi Pro League,2025/2026,32,2750,32,7,93,27,26.91,19.21,5.80,0.881,0.19,FootyStats,https://footystats.org/players/england/ivan-toney,2026-06-15,footystats_verified,0.45,Club Al Ahli matches roster; Professional League 2025/2026 totals.
Ghana,GHA,L,Christopher BAAH,FW,Al Qadsiah FC (KSA),Christopher Bonsu Baah,Al Quadisiya,Saudi Pro League,2025/2026,32,2702,3,12,30,55,4.04,4.04,11.25,0.135,0.375,FootyStats,https://footystats.org/players/ghana/christopher-bonsu-baah,2026-06-15,footystats_verified,0.45,Al Quadisiya matches Al Qadsiah; Professional League 2025/2026 totals.
Ivory Coast,CIV,E,Franck KESSIE,MF,Al Ahli FC (KSA),Franck Kessie,Al Ahli,Saudi Pro League,2025/2026,26,2174,5,3,33,18,6.19,6.19,4.03,0.256,0.167,FootyStats,https://footystats.org/players/ivory-coast/franck-kessie,2026-06-15,footystats_verified,0.45,Club Al Ahli matches roster; Professional League 2025/2026 totals.
Jordan,JOR,J,Ali ALI AZAIZEH,FW,Al Shabab FC (KSA),Ali Ahmad Azaizeh,Al Shabab,Saudi Pro League,2025/2026,15,647,2,1,12,8,2.07,2.07,1.18,0.288,0.164,FootyStats,https://footystats.org/players/jordan/ali-ahmad-azaizeh,2026-06-15,footystats_verified,0.45,Club Al Shabab matches roster; Professional League 2025/2026 totals.
Mexico,MEX,A,Julian QUINONES,FW,Al Qadsiah FC (KSA),Julian Andres Quinones Quinones,Al Quadisiya,Saudi Pro League,2025/2026,31,2744,33,4,136,23,30.71,29.31,4.58,1.007,0.15,FootyStats,https://footystats.org/players/colombia/julian-andres-quinones-quinones,2026-06-15,footystats_verified,0.45,Al Quadisiya matches Al Qadsiah; Professional League 2025/2026 totals.
Morocco,MAR,C,Yassine BOUNOU,GK,Al Hilal SC (KSA),Yassine Bounou,Al Hilal,Saudi Pro League,2025/2026,26,2340,0,0,0,0,0.00,0.00,0.81,0.0,0.031,FootyStats,https://footystats.org/players/morocco/yassine-bounou,2026-06-15,footystats_verified,0.45,Club Al Hilal matches roster; Professional League 2025/2026 totals.
Panama,PAN,L,Orlando MOSQUERA,GK,Al Fayha FC (KSA),Orlando Mosquera,Al Feiha,Saudi Pro League,2025/2026,32,2880,2,0,0,2,0.00,0.00,1.59,0.0,0.05,FootyStats,https://footystats.org/players/panama/orlando-mosquera,2026-06-15,footystats_verified,0.45,Al Feiha matches Al Fayha; Professional League 2025/2026 totals.
Portugal,POR,K,Rúben RUBEN NEVES,MF,Al Hilal SC (KSA),Ruben Neves,Al Hilal,Saudi Pro League,2025/2026,31,2750,12,7,50,65,10.36,4.06,10.23,0.339,0.335,FootyStats,https://footystats.org/players/portugal/ruben-neves,2026-06-15,footystats_verified,0.45,Club Al Hilal matches roster; Professional League 2025/2026 totals.
Portugal,POR,K,Cristiano CRISTIANO RONALDO,FW,Al Nassr FC (KSA),Cristiano Ronaldo,Al Nassr,Saudi Pro League,2025/2026,30,2614,28,2,161,26,29.04,23.44,2.97,1.0,0.102,FootyStats,https://footystats.org/players/portugal/cristiano-ronaldo,2026-06-15,footystats_verified,0.45,Club Al Nassr matches roster; Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Ali ALI MAJRASHI,DF,Al Ahli FC (KSA),Ali Majrashi,Al Ahli,Saudi Pro League,2025/2026,19,1529,1,3,12,11,1.45,1.45,2.82,0.085,0.166,FootyStats,https://footystats.org/players/saudi-arabia/ali-majrashi,2026-06-15,footystats_verified,0.45,Club Al Ahli matches roster; Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Feras FERAS ALBRIKAN,FW,Al Ahli FC (KSA),Firas Albirakan,Al Ahli,Saudi Pro League,2025/2026,34,1730,5,1,19,15,4.64,4.64,1.61,0.241,0.084,FootyStats,https://footystats.org/players/saudi-arabia/firas-albirakan,2026-06-15,footystats_verified,0.45,Firas Albirakan at Al Ahli; Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Ziyad ZIYAD ALJOHANI,MF,Al Ahli FC (KSA),Ziyad Aljohani,Al Ahli,Saudi Pro League,2025/2026,24,1474,0,1,12,15,0.83,0.83,2.43,0.051,0.148,FootyStats,https://footystats.org/players/saudi-arabia/ziyad-aljohani,2026-06-15,footystats_verified,0.45,Club Al Ahli matches roster; Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Khalid KHALID ALGHANNAM,FW,Al Ettifaq FC (KSA),Khalid Essa AL Ghannam,Al Ittifaq,Saudi Pro League,2025/2026,32,2175,13,6,43,43,12.15,12.15,5.96,0.503,0.247,FootyStats,https://footystats.org/players/saudi-arabia/khalid-essa-al-ghannam,2026-06-15,footystats_verified,0.45,Al Ittifaq matches Al Ettifaq; Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Ali ALI LAJAMI,DF,Al Hilal SC (KSA),Ali Alawjami,Al Hilal,Saudi Pro League,2025/2026,25,624,0,0,4,2,0.22,0.22,0.80,0.032,0.115,FootyStats,https://footystats.org/players/saudi-arabia/ali-alawjami,2026-06-15,footystats_verified,0.45,Ali Alawjami (Lajami) at Al Hilal; Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Hassan HASSAN ALTAMBAKTI,DF,Al Hilal SC (KSA),Hassan Mohammed Al Tambakti,Al Hilal,Saudi Pro League,2025/2026,29,2351,1,0,8,6,1.21,1.21,2.50,0.046,0.096,FootyStats,https://footystats.org/players/saudi-arabia/hassan-mohammed-al-tambakti,2026-06-15,footystats_verified,0.45,Club Al Hilal matches roster; Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Mohamed MOHAMED KANNO,MF,Al Hilal SC (KSA),Mohammed Kanoo,Al Hilal,Saudi Pro League,2025/2026,32,2086,5,4,31,21,5.98,5.98,5.39,0.258,0.233,FootyStats,https://footystats.org/players/saudi-arabia/mohammed-kanoo,2026-06-15,footystats_verified,0.45,Mohammed Kanoo (Kanno) at Al Hilal; Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Moteb MOTEB ALHARBI,DF,Al Hilal SC (KSA),Moteb Al-Harbi,Al Hilal,Saudi Pro League,2025/2026,30,1830,2,2,8,5,1.87,1.87,3.44,0.092,0.169,FootyStats,https://footystats.org/players/saudi-arabia/moteb-al-harbi,2026-06-15,footystats_verified,0.45,Club Al Hilal matches roster; Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Nasser NASSER ALDAWSARI,MF,Al Hilal SC (KSA),Nasser Al Dawsari,Al Hilal,Saudi Pro League,2025/2026,27,1621,0,1,14,16,1.06,1.06,2.49,0.059,0.138,FootyStats,https://footystats.org/players/saudi-arabia/nasser-al-dawsari,2026-06-15,footystats_verified,0.45,Club Al Hilal matches roster; Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Salem SALEM ALDAWSARI,FW,Al Hilal SC (KSA),Salem Mohammed Al Dawsari,Al Hilal,Saudi Pro League,2025/2026,26,1889,8,8,54,39,9.5,8.1,7.46,0.453,0.355,FootyStats,https://footystats.org/players/saudi-arabia/salem-mohammed-al-dawsari,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Sultan SULTAN MANDASH,FW,Al Hilal SC (KSA),Sultan Madash,Al Hilal,Saudi Pro League,2025/2026,28,1326,6,5,22,25,5.75,5.75,4.73,0.39,0.321,FootyStats,https://footystats.org/players/saudi-arabia/sultan-madash,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Hassan HASSAN KADISH,DF,Al Ittihad (KSA),Hasan Kadesh,Al Ittihad,Saudi Pro League,2025/2026,27,2275,1,0,8,2,1.05,1.05,2.42,0.042,0.096,FootyStats,https://footystats.org/players/saudi-arabia/hasan-kadesh,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Saleh SALEH ALSHEHRI,FW,Al Ittihad (KSA),Saleh Khalid Al Shehri,Al Ittihad,Saudi Pro League,2025/2026,18,420,3,2,20,10,3.21,2.51,1.73,0.688,0.371,FootyStats,https://footystats.org/players/saudi-arabia/saleh-khalid-al-shehri,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Abdulelah ABDULELAH ALAMRI,DF,Al Nassr FC (KSA),Abdullah Al Amri,Al Nassr,Saudi Pro League,2025/2026,25,1787,3,2,16,4,2.23,2.23,2.91,0.112,0.147,FootyStats,https://footystats.org/players/saudi-arabia/abdullah-al-amri,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Abdullah ABDULLAH ALHAMDDAN,FW,Al Nassr FC (KSA),Abdullah Al Hamdan,Al Nassr,Saudi Pro League,2025/2026,24,308,3,1,15,5,2.82,2.82,1.0,0.824,0.292,FootyStats,https://footystats.org/players/saudi-arabia/abdullah-al-hamdan,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Abdullah ABDULLAH ALKHAIBARI,MF,Al Nassr FC (KSA),Abdullah Alkhaibari,Al Nassr,Saudi Pro League,2025/2026,31,1587,0,0,9,12,0.37,0.37,1.85,0.021,0.105,FootyStats,https://footystats.org/players/saudi-arabia/abdullah-alkhaibari,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Aiman AIMAN YAHYA,FW,Al Nassr FC (KSA),Ayman Yahya,Al Nassr,Saudi Pro League,2025/2026,27,1248,2,2,19,11,2.81,2.81,2.94,0.203,0.212,FootyStats,https://footystats.org/players/saudi-arabia/ayman-yahya,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Nawaf NAWAF ALAQIDI,GK,Al Nassr FC (KSA),Nawaf Alaqidi,Al Nassr,Saudi Pro League,2025/2026,11,960,0,1,0,1,0.0,0.0,1.0,0.0,0.094,FootyStats,https://footystats.org/players/saudi-arabia/nawaf-alaqidi,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Nawaf NAWAF BU WASHL,DF,Al Nassr FC (KSA),Nawaf Boushal,Al Nassr,Saudi Pro League,2025/2026,32,1870,0,6,0,20,0.0,0.0,5.75,0.0,0.277,FootyStats,https://footystats.org/players/saudi-arabia/nawaf-boushal,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Saudi Arabia,KSA,H,Ahmed AHMED ALKASSAR,GK,Al Qadsiah FC (KSA),Ahmed Ali Al Kassar,Al Quadisiya,Saudi Pro League,2025/2026,3,205,0,0,0,0,0.0,0.0,0.1,0.0,0.044,FootyStats,https://footystats.org/players/saudi-arabia/ahmed-ali-al-kassar,2026-06-15,footystats_verified,0.45,FootyStats club Al Quadisiya matches Al Qadsiah.
Saudi Arabia,KSA,H,Jehad JEHAD THIKRI,DF,Al Qadsiah FC (KSA),Jehad Abdullatif Ahm,Al Quadisiya,Saudi Pro League,2025/2026,24,1514,0,0,8,1,0.53,0.53,1.87,0.032,0.111,FootyStats,https://footystats.org/players/saudi-arabia/jehad-abdullatif-ahm,2026-06-15,footystats_verified,0.45,Roster name Jehad Thikri; FootyStats profile Jehad Abdullatif Ahm.
Saudi Arabia,KSA,H,Mohammed MOHAMMED ABU ALSHAMAT,DF,Al Qadsiah FC (KSA),Muhammad Abu Al Shamat,Al Quadisiya,Saudi Pro League,2025/2026,31,2496,2,8,45,43,5.16,5.16,8.85,0.186,0.319,FootyStats,https://footystats.org/players/saudi-arabia/muhammad-abu-al-shamat,2026-06-15,footystats_verified,0.45,FootyStats club Al Quadisiya matches Al Qadsiah.
Saudi Arabia,KSA,H,Musab MUSAB ALJUWAYR,MF,Al Qadsiah FC (KSA),Musab Fahz Aljuwayr,Al Quadisiya,Saudi Pro League,2025/2026,31,2565,6,11,48,87,7.3,7.3,12.93,0.256,0.454,FootyStats,https://footystats.org/players/saudi-arabia/musab-fahz-aljuwayr,2026-06-15,footystats_verified,0.45,FootyStats club Al Quadisiya matches Al Qadsiah.
Saudi Arabia,KSA,H,Ala ALA ALHAJJI,MF,Neom SC (KSA),Alaa Hejji,Neom SC,Saudi Pro League,2025/2026,24,1344,3,1,13,24,2.87,2.87,2.89,0.192,0.194,FootyStats,https://footystats.org/players/saudi-arabia/alaa-hejji,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Scotland,SCO,C,Jack HENDRY,DF,Al Ettifaq FC (KSA),Jack Hendry,Al Ittifaq,Saudi Pro League,2025/2026,30,2557,2,0,5,5,0.9,0.9,3.16,0.032,0.111,FootyStats,https://footystats.org/players/scotland/jack-hendry,2026-06-15,footystats_verified,0.45,FootyStats club Al Ittifaq matches Al Ettifaq.
Senegal,SEN,I,Edouard MENDY,GK,Al Ahli FC (KSA),Edouard Mendy,Al Ahli,Saudi Pro League,2025/2026,26,2340,0,0,0,2,0.0,0.0,1.36,0.0,0.052,FootyStats,https://footystats.org/players/senegal/edouard-mendy,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Senegal,SEN,I,Kalidou KOULIBALY,DF,Al Hilal SC (KSA),Kalidou Koulibaly,Al Hilal,Saudi Pro League,2025/2026,18,1597,1,2,11,11,1.36,1.36,3.32,0.077,0.187,FootyStats,https://footystats.org/players/senegal/kalidou-koulibaly,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Senegal,SEN,I,Sadio MANE,FW,Al Nassr FC (KSA),Sadio Mané,Al Nassr,Saudi Pro League,2025/2026,24,2049,9,6,59,52,10.18,9.48,6.72,0.447,0.295,FootyStats,https://footystats.org/players/senegal/sadio-mane,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Turkey,TUR,D,Merih DEMIRAL,DF,Al Ahli FC (KSA),Merih Demiral,Al Ahli,Saudi Pro League,2025/2026,20,1647,2,0,14,4,2.29,2.29,1.66,0.125,0.091,FootyStats,https://footystats.org/players/turkey/merih-demiral,2026-06-15,footystats_verified,0.45,Professional League 2025/2026 totals.
Bosnia and Herzegovina,BIH,B,Nihad MUJAKIC,DF,Gaziantep FK (TUR),Nihad Mujakić,Gaziantep FK,Super Lig,2025/2026,27,2201,0,1,1,6,0.14,0.14,2.52,0.006,0.103,FootyStats,https://footystats.org/players/bosnia-and-herzegovina/nihad-mujakic,2026-06-16,footystats_verified,0.45,FootyStats club Gaziantep FK matches roster; Süper Lig 2025/2026 league totals.
Cape Verde,CPV,H,Nuno NUNO DA COSTA,MF,Başakşehir FK (TUR),Nuno da Costa,İstanbul Başakşehir,Super Lig,2025/2026,26,896,3,1,28,14,3.62,3.62,1.33,0.364,0.134,FootyStats,https://footystats.org/players/cape-verde/nuno-da-costa,2026-06-16,footystats_verified,0.45,FootyStats club İstanbul Başakşehir matches Başakşehir FK; Süper Lig 2025/2026 league totals.
Colombia,COL,K,Davinson SANCHEZ,DF,Galatasaray SK (TUR),Davinson Sánchez,Galatasaray,Super Lig,2025/2026,30,2426,1,0,15,13,1.62,1.62,3.8,0.06,0.141,FootyStats,https://footystats.org/players/colombia/davinson-sanchez,2026-06-16,footystats_verified,0.45,FootyStats club Galatasaray matches roster; Süper Lig 2025/2026 league totals.
Curacao,CUW,E,Joshua BRENET,DF,Kayserispor (TUR),Joshua Brenet,Kayserispor,Super Lig,2025/2026,11,797,0,2,3,12,0.14,0.14,2.04,0.016,0.23,FootyStats,https://footystats.org/players/netherlands/joshua-brenet,2026-06-16,footystats_verified,0.45,FootyStats club Kayserispor matches roster; Süper Lig 2025/2026 league totals.
Curacao,CUW,E,Riechedly BAZOER,DF,Konyaspor (TUR),Riechedly Bazoer,Konyaspor,Super Lig,2025/2026,15,926,1,0,3,4,0.25,0.25,1.25,0.024,0.121,FootyStats,https://footystats.org/players/netherlands/riechedly-bazoer,2026-06-16,footystats_verified,0.45,FootyStats club Konyaspor matches roster; Süper Lig 2025/2026 league totals.
DR Congo,COD,K,Meschack ELIA,FW,Alanyaspor (TUR),Elia Meschack,Alanyaspor,Super Lig,2025/2026,22,812,3,0,14,11,3.17,3.17,0.93,0.351,0.103,FootyStats,https://footystats.org/players/congo-dr/elia-meschack,2026-06-16,footystats_verified,0.45,FootyStats club Alanyaspor matches roster; Süper Lig 2025/2026 league totals.
France,FRA,I,Ngolo KANTE,MF,Fenerbahçe SK (TUR),N'Golo Kanté,Fenerbahçe,Super Lig,2025/2026,14,1144,2,0,8,14,1.71,1.71,1.74,0.135,0.137,FootyStats,https://footystats.org/players/france/ngolo-kante,2026-06-16,footystats_verified,0.45,FootyStats club Fenerbahçe matches roster; Süper Lig 2025/2026 league totals.
Germany,GER,E,Leroy SANE,MF,Galatasaray SK (TUR),Leroy Sané,Galatasaray,Super Lig,2025/2026,28,2289,7,5,49,47,8.51,8.51,6.69,0.335,0.263,FootyStats,https://footystats.org/players/germany/leroy-sane,2026-06-16,footystats_verified,0.45,FootyStats club Galatasaray matches roster; Süper Lig 2025/2026 league totals.
Ghana,GHA,L,Jerome OPOKU,DF,Başakşehir FK (TUR),Jerome Osei Opoku,Istanbul Basaksehir FK,Super Lig,2025/2026,32,2742,1,1,16,5,0.89,0.89,3.92,0.029,0.129,FootyStats,https://footystats.org/players/england/jerome-osei-opoku,2026-06-16,footystats_verified,0.45,FootyStats club Istanbul Basaksehir FK matches Başakşehir FK; Süper Lig 2025/2026 league totals.
Haiti,HAI,C,Frantzdy PIERROT,FW,Çaykur Rizespor (TUR),Frantzdy Pierrot,AEK Athens,Super Lig,2025/2026,3,49,0,0,1,1,0.05,0.05,0.06,0.092,0.11,FootyStats,https://footystats.org/players/haiti/frantzdy-pierrot,2026-06-16,footystats_low,0.45,"FootyStats primary club is AEK Athens; Süper Lig section likely Rizespor loan spell (3 apps, 49 min). Limited minutes."
Ivory Coast,CIV,E,Wilfried SINGO,DF,Galatasaray SK (TUR),Wilfried Singo,Galatasaray,Super Lig,2025/2026,19,947,2,1,12,3,2.0,2.0,2.09,0.19,0.199,FootyStats,https://footystats.org/players/ivory-coast/wilfried-singo,2026-06-16,footystats_verified,0.45,FootyStats club Galatasaray matches roster; Süper Lig 2025/2026 league totals.
Ivory Coast,CIV,E,Christ OULAI,MF,Trabzonspor (TUR),Christ Ravynel Inao Oulaï,Trabzonspor,Super Lig,2025/2026,25,2078,2,4,24,40,3.04,3.04,6.39,0.132,0.277,FootyStats,https://footystats.org/players/ivory-coast/christ-ravynel-inao-oulai,2026-06-16,footystats_verified,0.45,FootyStats club Trabzonspor matches roster; Süper Lig 2025/2026 league totals.
Portugal,POR,K,Nélson NELSON SEMEDO,DF,Fenerbahçe SK (TUR),Nélson Semedo,Fenerbahçe,Super Lig,2025/2026,26,1944,1,3,14,17,1.36,1.36,3.95,0.063,0.183,FootyStats,https://footystats.org/players/portugal/nelson-semedo,2026-06-16,footystats_verified,0.45,FootyStats club Fenerbahçe matches roster; Süper Lig 2025/2026 league totals.
Senegal,SEN,I,Cherif NDIAYE,FW,Samsunspor (TUR),Cherif Ndiaye,Samsunspor,Super Lig,2025/2026,23,1422,7,1,30,19,6.55,6.55,1.77,0.415,0.112,FootyStats,https://footystats.org/players/senegal/cherif-ndiaye,2026-06-16,footystats_verified,0.45,FootyStats club Samsunspor matches roster; Süper Lig 2025/2026 league totals.
South Korea,KOR,A,Hyeongyu OH,FW,Beşiktaş JK (TUR),Hyun-Gyu Oh,Beşiktaş,Super Lig,2025/2026,13,1088,6,1,29,9,6.05,6.05,1.2,0.5,0.099,FootyStats,https://footystats.org/players/south-korea/hyun-gyu-oh,2026-06-16,footystats_verified,0.45,FootyStats club Beşiktaş matches Beşiktaş JK; Süper Lig 2025/2026 league totals.
Tunisia,TUN,F,Adam AROUS,DF,Kasımpaşa SK (TUR),Adam Arous,Kasımpaşa,Super Lig,2025/2026,21,1671,1,0,4,3,0.87,0.87,1.31,0.047,0.071,FootyStats,https://footystats.org/players/tunisia/adam-arous,2026-06-16,footystats_verified,0.45,FootyStats club Kasımpaşa matches roster; Süper Lig 2025/2026 league totals.
Cape Verde,CPV,H,Wagner WAGNER PINA,DF,Trabzonspor (TUR),Wagner Fabrício Cardoso Pina,Trabzonspor,Super Lig,2025/2026,31,2444,0,7,11,32,0.97,0.97,7.14,0.036,0.263,FootyStats,https://footystats.org/players/portugal/wagner-fabricio-cardoso-pina,2026-06-16,footystats_verified,0.45,FootyStats club Trabzonspor matches roster; Süper Lig 2025/2026 league totals.
Tunisia,TUN,F,Mortadha BEN OUANES,DF,Kasımpaşa SK (TUR),Ahmed Mortadha Ben Ouannes,Kasımpaşa,Super Lig,2025/2026,28,2279,2,6,23,31,2.58,2.58,5.87,0.102,0.232,FootyStats,https://footystats.org/players/tunisia/ahmed-mortadha-ben-ouannes,2026-06-16,footystats_verified,0.45,FootyStats club Kasımpaşa matches roster; Süper Lig 2025/2026 league totals.
Turkey,TUR,D,Orkun KOKCU,MF,Beşiktaş JK (TUR),Orkun Kökçü,Beşiktaş,Super Lig,2025/2026,30,2485,8,8,88,89,11.12,9.72,10.79,0.403,0.391,FootyStats,https://footystats.org/players/turkey/orkun-kokcu,2026-06-16,footystats_verified,0.45,FootyStats club Beşiktaş matches roster Beşiktaş JK; Süper Lig 2025/2026 league totals.
Turkey,TUR,D,Caglar SOYUNCU,DF,Fenerbahçe SK (TUR),Caglar Söyüncü,Fenerbahçe,Super Lig,2025/2026,11,773,0,1,2,5,0.11,0.11,1.79,0.013,0.208,FootyStats,https://footystats.org/players/turkey/caglar-soyuncu,2026-06-16,footystats_verified,0.45,FootyStats club Fenerbahçe matches roster; limited Süper Lig minutes (11 apps).
Turkey,TUR,D,Ismail YUKSEK,MF,Fenerbahçe SK (TUR),Ismail Yuksek,Fenerbahçe,Super Lig,2025/2026,30,1764,1,2,32,16,2.57,2.57,3.65,0.131,0.186,FootyStats,https://footystats.org/players/turkey/ismail-yuksek,2026-06-16,footystats_verified,0.45,FootyStats club Fenerbahçe matches roster; Süper Lig 2025/2026 league totals.
Turkey,TUR,D,Kerem AKTURKOGLU,FW,Fenerbahçe SK (TUR),Muhammed Kerem Akturkoglu,Fenerbahçe,Super Lig,2025/2026,29,1961,8,7,44,57,8.52,7.82,7.14,0.391,0.328,FootyStats,https://footystats.org/players/turkey/muhammed-kerem-akturkoglu,2026-06-16,footystats_verified,0.45,FootyStats club Fenerbahçe matches roster; Süper Lig 2025/2026 league totals.
Turkey,TUR,D,Mert GUNOK,GK,Fenerbahçe SK (TUR),Fehmi Mert Gunok,Fenerbahçe,Super Lig,2025/2026,13,1105,0,0,0,0,0,0,0.43,0.0,0.035,FootyStats,https://footystats.org/players/turkey/fehmi-mert-gunok,2026-06-16,footystats_verified,0.45,FootyStats club Fenerbahçe matches roster; GK Süper Lig 2025/2026 totals (0 goals/shots as shown).
Turkey,TUR,D,Mert MULDUR,DF,Fenerbahçe SK (TUR),Mert Muldur,Fenerbahçe,Super Lig,2025/2026,14,835,1,1,9,10,1.31,1.31,1.73,0.141,0.186,FootyStats,https://footystats.org/players/turkey/mert-muldur,2026-06-16,footystats_verified,0.45,FootyStats club Fenerbahçe matches roster; Süper Lig 2025/2026 league totals.
Turkey,TUR,D,Oguz AYDIN,FW,Fenerbahçe SK (TUR),Oguz Aydin,Fenerbahçe,Super Lig,2025/2026,21,637,0,2,12,23,1.05,1.05,2.5,0.148,0.353,FootyStats,https://footystats.org/players/turkey/oguz-aydin,2026-06-16,footystats_verified,0.45,FootyStats club Fenerbahçe matches roster; mostly substitute Süper Lig minutes.
Turkey,TUR,D,Abdulkerim BARDAKCI,DF,Galatasaray SK (TUR),Abdulkerim Bardakci,Galatasaray,Super Lig,2025/2026,30,2547,0,1,24,16,1.54,1.54,4.72,0.054,0.167,FootyStats,https://footystats.org/players/turkey/abdulkerim-bardakci,2026-06-16,footystats_verified,0.45,FootyStats club Galatasaray matches roster Galatasaray SK; Süper Lig 2025/2026 league totals.
Turkey,TUR,D,Baris YILMAZ,FW,Galatasaray SK (TUR),Baris Alper Yilmaz,Galatasaray,Super Lig,2025/2026,30,2318,8,11,55,57,9.25,7.15,9.44,0.359,0.367,FootyStats,https://footystats.org/players/turkey/baris-alper-yilmaz,2026-06-16,footystats_verified,0.45,FootyStats lists Barış Alper Yılmaz at Galatasaray; matches roster Baris Yilmaz.
Turkey,TUR,D,Eren ELMALI,DF,Galatasaray SK (TUR),Eren Elmali,Galatasaray,Super Lig,2025/2026,23,1410,3,0,13,23,2.77,2.77,2.5,0.177,0.16,FootyStats,https://footystats.org/players/turkey/eren-elmali,2026-06-16,footystats_verified,0.45,FootyStats club Galatasaray matches roster; Süper Lig 2025/2026 league totals.
Turkey,TUR,D,Kaan AYHAN,MF,Galatasaray SK (TUR),Kaan Ayhan,Galatasaray,Super Lig,2025/2026,13,268,0,0,4,1,0.2,0.2,0.5,0.067,0.168,FootyStats,https://footystats.org/players/turkey/kaan-ayhan,2026-06-16,footystats_verified,0.45,FootyStats club Galatasaray matches roster; mostly substitute Süper Lig minutes.
