player,nation_raw,position,club,league,age,born,season,matches_played,starts,minutes,nineties,goals,assists,xg,npxg,xag,npxg_xag,progressive_carries,progressive_passes,progressive_receives,xg_per90,xag_per90,npxg_per90,source,source_url,last_verified
Theo Bair,caCAN,FW,Auxerre,Ligue 1,25-243,1999,2024-25,26,11,917,10.2,2,1,2.7,2.7,1.2,3.9,15,15,41,0.12,0.39,0.39,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Stefan Bajcetic,esESP,"MF,DF",Las Palmas,La Liga,20-187,2004,2024-25,11,9,761,8.5,1,0,0.2,0.2,0.2,0.5,6,32,6,0.03,0.05,0.05,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Cédric Bakambu,cdCOD,FW,Betis,La Liga,34-016,1991,2024-25,21,5,609,6.8,2,2,3.0,3.0,0.6,3.6,8,11,36,0.08,0.52,0.52,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Mitchel Bakker,nlNED,MF,Atalanta,Serie A,24-311,2000,2024-25,1,0,22,0.2,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Mitchel Bakker,nlNED,"FW,DF",Lille,Ligue 1,24-311,2000,2024-25,21,13,1074,11.9,3,2,2.9,2.9,2.6,5.6,41,54,114,0.22,0.46,0.46,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Darryl Bakola,frFRA,"DF,MF",Marseille,Ligue 1,17-148,2007,2024-25,2,0,14,0.2,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Ridle Baku,deGER,"FW,MF",Wolfsburg,Bundesliga,27-019,1998,2024-25,15,14,1170,13.0,2,1,1.5,1.5,1.3,2.7,16,44,78,0.1,0.21,0.21,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Ridle Baku,deGER,"DF,MF",RB Leipzig,Bundesliga,27-019,1998,2024-25,16,14,1160,12.9,1,2,1.2,1.2,0.7,1.9,19,34,88,0.06,0.15,0.15,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Dilane Bakwa,frFRA,"MF,FW",Strasbourg,Ligue 1,22-244,2002,2024-25,27,26,2256,25.1,5,8,4.5,4.5,6.4,10.9,98,115,221,0.26,0.43,0.43,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Tommaso Baldanzi,itITA,"MF,FW",Roma,Serie A,22-035,2003,2024-25,26,5,759,8.4,1,1,1.4,1.4,0.9,2.2,35,23,57,0.1,0.27,0.27,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Alejandro Balde,esESP,DF,Barcelona,La Liga,21-191,2003,2024-25,28,25,2080,23.1,0,4,0.5,0.5,3.4,3.9,98,86,231,0.15,0.17,0.17,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Keita Baldé,snSEN,FW,Monza,Serie A,30-050,1995,2024-25,8,6,464,5.2,1,0,0.5,0.5,0.0,0.5,14,22,23,0.01,0.11,0.11,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Carlos Baleba,cmCMR,MF,Brighton,gPremier League,21-114,2004,2024-25,30,27,2313,25.7,3,1,3.0,3.0,1.3,4.2,40,111,26,0.05,0.17,0.17,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Leonardo Balerdi,arARG,DF,Marseille,Ligue 1,26-091,1999,2024-25,23,23,1927,21.4,0,0,0.6,0.6,0.7,1.4,11,91,4,0.03,0.06,0.06,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Iván Balliu,alALB,DF,Rayo Vallecano,La Liga,33-116,1992,2024-25,20,7,806,9.0,0,0,0.0,0.0,0.4,0.4,7,34,14,0.05,0.05,0.05,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Fodé Ballo-Touré,snSEN,DF,Le Havre,Ligue 1,28-114,1997,2024-25,7,6,386,4.3,0,0,0.0,0.0,0.1,0.1,10,11,12,0.03,0.03,0.03,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Botond Balogh,huHUN,DF,Parma,Serie A,22-325,2002,2024-25,25,21,1839,20.4,0,1,0.2,0.2,0.1,0.3,7,33,1,0.0,0.01,0.01,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Folarin Balogun,usUSA,FW,Monaco,Ligue 1,23-298,2001,2024-25,12,6,525,5.8,3,0,4.3,4.3,0.9,5.1,19,9,65,0.15,0.88,0.88,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Mario Balotelli,itITA,"FW,MF",Genoa,Serie A,34-258,1990,2024-25,6,0,62,0.7,0,0,0.0,0.0,0.0,0.0,0,1,5,0.0,0.07,0.07,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Abdoulaye Bamba,ciCIV,DF,Angers,Ligue 1,35-002,1990,2024-25,18,15,1420,15.8,0,0,0.1,0.1,0.3,0.4,1,16,3,0.02,0.02,0.02,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Jonathan Bamba,ciCIV,"FW,MF",Celta Vigo,La Liga,29-032,1996,2024-25,12,10,811,9.0,0,1,0.8,0.8,1.8,2.6,31,30,71,0.2,0.29,0.29,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Mohamed Bamba,ciCIV,MF,Reims,Ligue 1,20-201,2004,2024-25,2,0,10,0.1,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Samuel Bamba,deGER,"FW,MF",Bochum,Bundesliga,21-073,2004,2024-25,5,0,27,0.3,0,0,0.1,0.1,0.0,0.1,3,5,8,0.1,0.45,0.45,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Lameck Banda,zmZAM,"FW,MF",Lecce,Serie A,24-088,2001,2024-25,14,6,574,6.4,0,1,0.9,0.9,1.0,1.9,26,7,41,0.16,0.3,0.3,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Daniel Bandeira,ptPOR,MF,Hellas Verona,Serie A,25-016,2000,2024-25,11,4,407,4.5,0,0,0.0,0.0,0.1,0.2,1,25,4,0.03,0.04,0.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Mattia Bani,itITA,DF,Genoa,Serie A,31-138,1993,2024-25,17,17,1333,14.8,0,0,0.7,0.7,0.2,0.8,6,23,3,0.01,0.06,0.06,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Noahkai Banks,usUSA,DF,Augsburg,Bundesliga,18-147,2006,2024-25,8,2,278,3.1,0,0,0.1,0.1,0.0,0.1,2,8,3,0.0,0.02,0.02,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Scott Banks,sctSCO,"FW,MF",St. Pauli,Bundesliga,23-213,2001,2024-25,11,0,101,1.1,0,0,0.3,0.3,0.0,0.3,3,1,8,0.0,0.25,0.25,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Adrian Baquerin,esESP,FW,Valladolid,La Liga,18-054,2007,2024-25,3,0,12,0.1,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Antonín Barák,czCZE,MF,Fiorentina,Serie A,30-145,1994,2024-25,1,1,54,0.6,0,0,0.1,0.1,0.3,0.4,2,2,5,0.47,0.6,0.6,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Federico Barba,itITA,DF,Como,Serie A,31-238,1993,2024-25,7,5,431,4.8,0,0,0.2,0.2,0.0,0.2,5,25,5,0.0,0.04,0.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Valentín Barco,arARG,"DF,FW",Sevilla,La Liga,20-278,2004,2024-25,7,3,288,3.2,0,0,0.3,0.3,0.6,0.9,4,13,13,0.2,0.28,0.28,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Valentín Barco,arARG,"MF,DF",Strasbourg,Ligue 1,20-278,2004,2024-25,11,11,906,10.1,0,2,0.4,0.4,1.4,1.9,11,44,45,0.14,0.19,0.19,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Bradley Barcola,frFRA,FW,Paris S-G,Ligue 1,22-237,2002,2024-25,31,24,1965,21.8,13,10,12.9,12.9,9.7,22.6,123,85,329,0.44,1.04,1.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Melvin Bard,frFRA,"DF,MF",Nice,Ligue 1,24-172,2000,2024-25,21,19,1668,18.5,2,0,2.1,2.1,1.7,3.8,45,69,89,0.09,0.2,0.2,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Nicolò Barella,itITA,MF,Inter,Serie A,28-079,1997,2024-25,29,27,2264,25.2,3,6,2.1,2.1,4.3,6.3,57,204,118,0.17,0.25,0.25,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Gabriel Bares,chSUI,"MF,DF",Montpellier,Ligue 1,24-241,2000,2024-25,6,0,56,0.6,0,0,0.0,0.0,0.0,0.0,1,3,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Borna Barišić,hrCRO,DF,Leganés,La Liga,32-168,1992,2024-25,1,1,9,0.1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Kike Barja,esESP,"FW,MF",Osasuna,La Liga,28-026,1997,2024-25,11,3,262,2.9,0,0,0.2,0.2,0.6,0.8,18,2,31,0.21,0.28,0.28,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Ross Barkley,engENG,MF,Aston Villa,gPremier League,31-143,1993,2024-25,17,3,563,6.3,3,1,1.7,1.7,0.6,2.3,14,33,9,0.1,0.37,0.37,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Aymen Barkok,maMAR,MF,Mainz 05,Bundesliga,26-341,1998,2024-25,4,0,73,0.8,0,0,0.0,0.0,0.1,0.1,2,5,6,0.17,0.17,0.17,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Harvey Barnes,engENG,FW,Newcastle Utd,gPremier League,27-139,1997,2024-25,29,13,1413,15.7,9,4,6.3,6.3,3.7,10.0,74,69,159,0.24,0.64,0.64,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Enzo Barrenechea,arARG,MF,Valencia,La Liga,23-340,2001,2024-25,26,23,1909,21.2,1,2,1.3,1.3,0.9,2.2,19,113,15,0.04,0.1,0.1,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Ander Barrenetxea,esESP,"MF,FW",Real Sociedad,La Liga,23-121,2001,2024-25,25,12,1074,11.9,1,3,1.5,1.5,1.8,3.3,39,44,129,0.15,0.28,0.28,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Pablo Barrios,esESP,MF,Atlético Madrid,La Liga,21-316,2003,2024-25,27,25,2141,23.8,1,3,1.3,1.3,1.6,2.9,27,136,60,0.07,0.12,0.12,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Thierno Barry,frFRA,FW,Villarreal,La Liga,22-188,2002,2024-25,31,22,2028,22.5,10,3,11.9,11.2,2.4,13.5,39,23,101,0.11,0.64,0.6,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Davide Bartesaghi,itITA,"DF,MF",Milan,Serie A,19-119,2005,2024-25,3,0,58,0.6,0,0,0.0,0.0,0.1,0.1,2,0,11,0.1,0.12,0.12,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Marc Bartra,esESP,DF,Betis,La Liga,34-102,1991,2024-25,21,19,1757,19.5,2,1,1.1,1.1,0.1,1.3,7,54,1,0.01,0.07,0.07,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Federico Baschirotto,itITA,DF,Lecce,Serie A,28-219,1996,2024-25,33,33,2970,33.0,2,0,1.1,1.1,0.2,1.3,9,58,5,0.0,0.04,0.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Daniele Baselli,itITA,MF,Como,Serie A,33-046,1992,2024-25,2,1,22,0.2,0,0,0.0,0.0,0.0,0.0,2,4,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Calvin Bassey,ngNGA,DF,Fulham,gPremier League,25-117,1999,2024-25,32,31,2804,31.2,1,0,1.0,1.0,0.1,1.1,35,104,13,0.0,0.03,0.03,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Aboubacar Bassinga,ciCIV,MF,Las Palmas,La Liga,19-288,2005,2024-25,1,0,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Alessandro Bastoni,itITA,DF,Inter,Serie A,26-014,1999,2024-25,31,29,2234,24.8,1,4,0.8,0.8,2.3,3.1,58,157,77,0.09,0.13,0.13,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Augusto Batalla,arARG,GK,Rayo Vallecano,La Liga,28-362,1996,2024-25,28,28,2520,28.0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Michy Batshuayi,beBEL,FW,Eint Frankfurt,Bundesliga,31-207,1993,2024-25,7,3,252,2.8,2,0,0.8,0.8,0.0,0.9,3,7,10,0.02,0.31,0.31,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Dylan Batubinsika,cdCOD,DF,Saint-Étienne,Ligue 1,29-071,1996,2024-25,24,22,1971,21.9,0,0,0.5,0.5,0.2,0.7,11,49,1,0.01,0.03,0.03,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Maximilian Bauer,deGER,DF,Augsburg,Bundesliga,25-077,2000,2024-25,11,8,658,7.3,0,0,0.2,0.2,0.1,0.3,4,30,7,0.01,0.04,0.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Oliver Baumann,deGER,GK,Hoffenheim,Bundesliga,34-329,1990,2024-25,26,26,2340,26.0,0,0,0.0,0.0,1.0,1.0,0,1,0,0.04,0.04,0.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Christoph Baumgartner,atAUT,"MF,FW",RB Leipzig,Bundesliga,25-269,1999,2024-25,29,17,1518,16.9,2,1,4.2,4.2,1.3,5.5,33,49,90,0.08,0.33,0.33,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Rafael Bauza,esESP,MF,Espanyol,La Liga,20-087,2005,2024-25,5,2,183,2.0,0,0,0.1,0.1,0.0,0.1,1,7,3,0.0,0.04,0.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Altay Bayındır,trTUR,GK,Manchester Utd,gPremier League,27-013,1998,2024-25,1,1,90,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Adrian Beck,deGER,"MF,FW",Heidenheim,Bundesliga,27-322,1997,2024-25,29,15,1384,15.4,2,1,2.5,2.5,1.1,3.6,29,61,71,0.07,0.24,0.24,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Sheraldo Becker,srSUR,"FW,MF",Real Sociedad,La Liga,30-077,1995,2024-25,21,11,986,11.0,2,1,2.0,2.0,2.0,4.0,51,23,109,0.18,0.36,0.36,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Timo Becker,deGER,DF,Holstein Kiel,Bundesliga,28-033,1997,2024-25,27,25,2178,24.2,0,2,1.4,1.4,0.8,2.2,28,53,36,0.03,0.09,0.09,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Jan Bednarek,plPOL,DF,Southampton,gPremier League,29-015,1996,2024-25,28,28,2351,26.1,2,0,0.7,0.7,0.5,1.2,4,58,2,0.02,0.05,0.05,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Donny van de Beek,nlNED,MF,Girona,La Liga,28-009,1997,2024-25,26,16,1421,15.8,2,2,1.5,1.5,3.2,4.7,17,45,85,0.21,0.3,0.3,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Hannes Behrens,deGER,DF,Hoffenheim,Bundesliga,,,2024-25,1,0,29,0.3,0,0,0.0,0.0,0.0,0.0,0,1,7,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Kevin Behrens,deGER,FW,Wolfsburg,Bundesliga,34-083,1991,2024-25,17,0,154,1.7,1,0,2.3,2.3,0.1,2.4,2,2,17,0.07,1.42,1.42,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Maximilian Beier,deGER,"FW,MF",Dortmund,Bundesliga,22-192,2002,2024-25,29,17,1591,17.7,8,5,7.7,7.7,3.3,11.0,24,33,124,0.19,0.62,0.62,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Luken Beitia,esESP,DF,Real Sociedad,La Liga,20-301,2004,2024-25,1,0,8,0.1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Ismael Bekhoucha,maMAR,"DF,MF",Getafe,La Liga,20-158,2004,2024-25,2,0,9,0.1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Reda Belahyane,maMAR,MF,Hellas Verona,Serie A,20-330,2004,2024-25,22,17,1658,18.4,0,2,0.2,0.2,1.0,1.3,22,73,13,0.06,0.07,0.07,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Reda Belahyane,maMAR,MF,Lazio,Serie A,20-330,2004,2024-25,6,1,198,2.2,0,0,0.0,0.0,0.0,0.0,4,10,1,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Haris Belkebla,dzALG,MF,Angers,Ligue 1,31-089,1994,2024-25,22,21,1792,19.9,0,1,0.1,0.1,0.9,1.0,8,69,15,0.05,0.05,0.05,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Yassin Belkhdim,frFRA,MF,Angers,Ligue 1,23-072,2002,2024-25,26,13,1273,14.1,1,0,0.7,0.7,0.4,1.1,15,33,29,0.03,0.08,0.08,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Stefan Bell,deGER,DF,Mainz 05,Bundesliga,33-246,1991,2024-25,15,13,1178,13.1,0,1,0.6,0.6,1.0,1.6,7,26,4,0.08,0.12,0.12,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Armel Bella Kotchap,deGER,DF,Southampton,gPremier League,23-137,2001,2024-25,4,2,331,3.7,0,0,0.3,0.3,0.0,0.3,0,5,0,0.0,0.09,0.09,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Raoul Bellanova,itITA,DF,Torino,Serie A,24-345,2000,2024-25,1,1,87,1.0,0,0,0.0,0.0,0.1,0.1,4,0,5,0.07,0.11,0.11,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Raoul Bellanova,itITA,DF,Atalanta,Serie A,24-345,2000,2024-25,29,23,2080,23.1,0,8,1.0,1.0,4.0,4.9,75,77,162,0.17,0.21,0.21,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Jean-Ricner Bellegarde,frFRA,"MF,FW",Wolves,gPremier League,26-304,1998,2024-25,31,18,1486,16.5,2,6,1.3,1.3,3.6,4.9,47,36,81,0.22,0.3,0.3,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Héctor Bellerín,esESP,DF,Betis,La Liga,30-039,1995,2024-25,8,6,569,6.3,0,1,0.2,0.2,2.0,2.2,3,24,20,0.32,0.35,0.35,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Jude Bellingham,engENG,MF,Real Madrid,La Liga,21-302,2003,2024-25,27,25,2128,23.6,8,7,9.8,8.3,3.6,11.9,62,172,120,0.15,0.57,0.5,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Jeanuël Belocian,frFRA,"DF,MF",Leverkusen,Bundesliga,20-069,2005,2024-25,5,1,68,0.8,0,0,0.0,0.0,0.0,0.0,0,3,1,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Andrea Belotti,itITA,FW,Como,Serie A,31-128,1993,2024-25,18,7,593,6.6,2,0,2.5,2.5,0.4,2.8,9,9,33,0.05,0.43,0.43,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Fran Beltrán,esESP,MF,Celta Vigo,La Liga,26-083,1999,2024-25,29,25,2054,22.8,2,0,0.9,0.9,1.6,2.5,23,138,21,0.07,0.11,0.11,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Lucas Beltrán,arARG,"MF,FW",Fiorentina,Serie A,24-029,2001,2024-25,29,18,1690,18.8,5,4,5.2,2.9,2.9,5.8,21,57,85,0.15,0.43,0.31,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Eliesse Ben Seghir,maMAR,"MF,FW",Monaco,Ligue 1,20-070,2005,2024-25,30,18,1644,18.3,6,3,5.4,4.0,4.9,8.9,82,118,164,0.27,0.57,0.49,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Carlos Benavídez,uyURU,MF,Alavés,La Liga,27-028,1998,2024-25,13,5,374,4.2,1,1,0.1,0.1,0.6,0.7,4,20,5,0.15,0.18,0.18,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Adrian Benedyczak,plPOL,"FW,MF",Parma,Serie A,24-154,2000,2024-25,8,2,197,2.2,0,0,0.3,0.3,0.0,0.3,3,3,11,0.01,0.12,0.12,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
László Bénes,skSVK,"MF,FW",Union Berlin,Bundesliga,27-230,1997,2024-25,19,2,501,5.6,1,1,0.8,0.8,1.0,1.7,5,27,30,0.17,0.31,0.31,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Iker Benito,esESP,"FW,MF",Osasuna,La Liga,22-260,2002,2024-25,2,0,37,0.4,0,0,0.0,0.0,0.0,0.0,2,0,4,0.09,0.09,0.09,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Ismaël Bennacer,dzALG,MF,Milan,Serie A,27-147,1997,2024-25,6,4,300,3.3,0,0,0.1,0.1,0.1,0.2,8,23,12,0.04,0.07,0.07,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
