player,nation_raw,position,club,league,age,born,season,matches_played,starts,minutes,nineties,goals,assists,xg,npxg,xag,npxg_xag,progressive_carries,progressive_passes,progressive_receives,xg_per90,xag_per90,npxg_per90,source,source_url,last_verified
Paul Akouokou,ciCIV,MF,Lyon,Ligue 1,27-128,1997,2024-25,2,0,19,0.2,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Clément Akpa,ciCIV,DF,Auxerre,Ligue 1,23-154,2001,2024-25,27,25,2148,23.9,0,1,0.3,0.3,0.9,1.2,25,69,24,0.04,0.05,0.05,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Jean-Daniel Akpa-Akpro,ciCIV,"MF,DF",Monza,Serie A,32-198,1992,2024-25,9,7,544,6.0,0,0,0.0,0.0,0.1,0.1,8,14,7,0.02,0.02,0.02,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
David Akpan Ankeye,ngNGA,"FW,MF",Genoa,Serie A,23-072,2002,2024-25,4,0,45,0.5,0,0,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Kevin Akpoguma,ngNGA,DF,Hoffenheim,Bundesliga,30-008,1995,2024-25,29,21,2039,22.7,0,0,0.1,0.1,0.3,0.4,14,90,16,0.01,0.02,0.02,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Chuba Akpom,engENG,FW,Lille,Ligue 1,29-200,1995,2024-25,10,4,447,5.0,2,0,3.0,2.2,0.4,2.6,2,5,26,0.08,0.68,0.52,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
David Alaba,atAUT,DF,Real Madrid,La Liga,32-307,1992,2024-25,7,4,317,3.5,0,0,0.0,0.0,0.1,0.1,2,7,4,0.02,0.02,0.02,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Andreas Albers,dkDEN,FW,St. Pauli,Bundesliga,35-035,1990,2024-25,14,0,62,0.7,1,0,0.6,0.6,0.1,0.7,1,3,6,0.14,1.04,1.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Raúl Albiol,esESP,DF,Villarreal,La Liga,39-235,1985,2024-25,15,14,1188,13.2,0,0,0.1,0.1,0.0,0.1,3,34,0,0.0,0.01,0.01,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Carlos Alcaraz,arARG,MF,Southampton,gPremier League,22-148,2002,2024-25,1,0,10,0.1,0,0,0.1,0.1,0.1,0.2,4,6,1,0.86,1.48,1.48,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Carlos Alcaraz,arARG,"FW,MF",Everton,gPremier League,22-148,2002,2024-25,11,4,491,5.5,1,1,1.3,1.3,1.3,2.6,14,27,10,0.23,0.48,0.48,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Omar Alderete,pyPAR,DF,Getafe,La Liga,28-122,1996,2024-25,30,30,2645,29.4,1,0,1.5,1.5,0.9,2.3,24,99,6,0.03,0.08,0.08,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Carles Aleñá,esESP,"MF,FW",Getafe,La Liga,27-112,1998,2024-25,10,5,452,5.0,0,0,0.9,0.9,0.1,1.0,3,12,10,0.02,0.2,0.2,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Carles Aleñá,esESP,"MF,FW",Alavés,La Liga,27-112,1998,2024-25,9,8,672,7.5,0,2,0.5,0.5,0.7,1.1,15,42,29,0.09,0.15,0.15,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Trent Alexander-Arnold,engENG,DF,Liverpool,gPremier League,26-202,1998,2024-25,29,26,2165,24.1,3,6,1.6,1.6,6.7,8.3,48,204,87,0.28,0.34,0.34,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Alfon,esESP,"FW,MF",Celta Vigo,La Liga,25-358,1999,2024-25,22,11,1147,12.7,4,2,3.9,3.9,2.3,6.2,78,20,144,0.18,0.49,0.49,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Mohamed Ali Cho,frFRA,"FW,MF",Nice,Ligue 1,21-098,2004,2024-25,25,21,1598,17.8,3,4,4.0,4.0,3.6,7.6,78,58,128,0.2,0.43,0.43,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Faride Alidou,deGER,"FW,MF",Hellas Verona,Serie A,23-283,2001,2024-25,3,0,71,0.8,0,0,0.0,0.0,0.0,0.0,1,1,2,0.02,0.03,0.03,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Alisson,brBRA,GK,Liverpool,gPremier League,32-207,1992,2024-25,23,23,2058,22.9,0,0,0.0,0.0,0.6,0.6,0,0,0,0.03,0.03,0.03,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Tadeo Allende,arARG,FW,Celta Vigo,La Liga,26-066,1999,2024-25,1,0,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Jim Allevinah,gaGAB,FW,Angers,Ligue 1,30-059,1995,2024-25,25,21,1545,17.2,0,3,3.7,3.7,2.4,6.2,46,42,86,0.14,0.36,0.36,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Dele Alli,engENG,MF,Como,Serie A,29-016,1996,2024-25,1,0,9,0.1,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Thiago Almada,arARG,"MF,FW",Lyon,Ligue 1,24-001,2001,2024-25,13,6,694,7.7,1,4,1.9,1.9,2.2,4.1,25,68,35,0.28,0.53,0.53,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Domingos André Ribeiro Almeida,ptPOR,"MF,FW",Valencia,La Liga,24-332,2000,2024-25,30,21,1734,19.3,0,3,0.7,0.7,2.4,3.1,37,123,66,0.12,0.16,0.16,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Iker Almena,esESP,"FW,DF",Girona,La Liga,20-358,2004,2024-25,2,0,48,0.5,0,1,0.0,0.0,0.7,0.7,6,2,10,1.27,1.33,1.33,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Miguel Almirón,pyPAR,FW,Newcastle Utd,gPremier League,31-076,1994,2024-25,9,1,157,1.7,0,0,0.5,0.5,0.3,0.8,3,6,18,0.15,0.45,0.45,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Pontus Almqvist,seSWE,"FW,MF",Parma,Serie A,25-291,1999,2024-25,29,10,1112,12.4,1,1,2.1,2.1,1.3,3.5,42,12,85,0.11,0.28,0.28,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Marcos Alonso,esESP,DF,Celta Vigo,La Liga,34-120,1990,2024-25,27,25,2340,26.0,2,0,2.5,0.9,1.0,2.0,52,192,43,0.04,0.14,0.08,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Giorgio Altare,itITA,DF,Venezia,Serie A,26-261,1998,2024-25,12,8,753,8.4,0,0,0.2,0.2,0.1,0.3,4,20,5,0.02,0.04,0.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Adrià Altimira,esESP,"DF,FW",Leganés,La Liga,24-030,2001,2024-25,18,15,1270,14.1,0,0,0.3,0.3,0.2,0.5,18,38,49,0.02,0.03,0.03,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Sergi Altimira,esESP,MF,Betis,La Liga,23-245,2001,2024-25,28,18,1669,18.5,0,1,1.6,1.5,1.5,3.1,19,85,24,0.08,0.17,0.16,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Edson Álvarez,mxMEX,MF,West Ham,gPremier League,27-185,1997,2024-25,25,19,1633,18.1,0,1,0.3,0.3,0.8,1.1,21,75,18,0.04,0.06,0.06,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Hugo Álvarez,esESP,"MF,DF",Celta Vigo,La Liga,21-299,2003,2024-25,23,15,1441,16.0,4,3,2.4,2.4,1.1,3.5,67,54,160,0.07,0.22,0.22,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Julián Álvarez,arARG,FW,Atlético Madrid,La Liga,25-086,2000,2024-25,33,26,2178,24.2,15,2,12.3,9.1,3.4,12.5,67,74,143,0.14,0.65,0.52,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Yeray Álvarez,esESP,DF,Athletic Club,La Liga,30-093,1995,2024-25,19,18,1601,17.8,1,0,0.5,0.5,0.2,0.7,18,103,0,0.01,0.04,0.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Skelly Alvero,frFRA,MF,Werder Bremen,Bundesliga,22-358,2002,2024-25,12,1,236,2.6,0,0,0.0,0.0,0.0,0.0,1,8,0,0.0,0.01,0.01,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Will Alves,engENG,FW,Leicester City,gPremier League,20-083,2005,2024-25,1,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Selim Amallah,maMAR,MF,Valladolid,La Liga,28-163,1996,2024-25,21,15,1187,13.2,3,1,2.7,1.9,0.6,2.5,23,46,24,0.04,0.25,0.19,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Harry Amass,engENG,DF,Manchester Utd,gPremier League,18-042,2007,2024-25,3,2,166,1.8,0,0,0.0,0.0,0.0,0.0,5,4,12,0.01,0.03,0.03,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Amath,snSEN,"FW,DF",Valladolid,La Liga,28-285,1996,2024-25,10,5,325,3.6,0,1,0.4,0.4,0.2,0.6,8,12,25,0.06,0.15,0.15,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Jordan Amavi,frFRA,DF,Brest,Ligue 1,31-049,1994,2024-25,11,8,790,8.8,0,0,0.3,0.3,0.2,0.4,22,36,21,0.02,0.05,0.05,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
