option,advancing_groups,eliminated_groups,vs_1A,vs_1B,vs_1D,vs_1E,vs_1G,vs_1I,vs_1K,vs_1L
340,ABDEGJKL,CFHI,3E,3J,3B,3D,3A,3G,3L,3K
341,ABDEGIKL,CFHJ,3E,3G,3B,3A,3I,3D,3L,3K
342,ABDEGIJL,CFHK,3E,3J,3B,3D,3A,3G,3L,3I
343,ABDEGIJK,CFHL,3E,3J,3B,3D,3A,3G,3I,3K
344,ABDEGHKL,CFIJ,3E,3G,3B,3D,3A,3H,3L,3K
345,ABDEGHJL,CFIK,3H,3J,3B,3D,3A,3G,3L,3E
346,ABDEGHJK,CFIL,3H,3J,3B,3D,3A,3G,3E,3K
347,ABDEGHIL,CFJK,3E,3G,3B,3D,3A,3H,3L,3I
348,ABDEGHIK,CFJL,3E,3G,3B,3D,3A,3H,3I,3K
349,ABDEGHIJ,CFKL,3H,3J,3B,3D,3A,3G,3E,3I
350,ABDEFJKL,CGHI,3E,3J,3B,3D,3A,3F,3L,3K
351,ABDEFIKL,CGHJ,3E,3I,3B,3D,3A,3F,3L,3K
352,ABDEFIJL,CGHK,3E,3J,3B,3D,3A,3F,3L,3I
353,ABDEFIJK,CGHL,3E,3J,3B,3D,3A,3F,3I,3K
354,ABDEFHKL,CGIJ,3H,3E,3B,3D,3A,3F,3L,3K
355,ABDEFHJL,CGIK,3H,3J,3B,3D,3A,3F,3L,3E
356,ABDEFHJK,CGIL,3H,3J,3B,3D,3A,3F,3E,3K
357,ABDEFHIL,CGJK,3H,3E,3B,3D,3A,3F,3L,3I
358,ABDEFHIK,CGJL,3H,3E,3B,3D,3A,3F,3I,3K
359,ABDEFHIJ,CGKL,3H,3J,3B,3D,3A,3F,3E,3I
360,ABDEFGKL,CHIJ,3E,3G,3B,3D,3A,3F,3L,3K
361,ABDEFGJL,CHIK,3E,3G,3B,3D,3A,3F,3L,3J
362,ABDEFGJK,CHIL,3E,3G,3B,3D,3A,3F,3J,3K
363,ABDEFGIL,CHJK,3E,3G,3B,3D,3A,3F,3L,3I
364,ABDEFGIK,CHJL,3E,3G,3B,3D,3A,3F,3I,3K
365,ABDEFGIJ,CHKL,3E,3G,3B,3D,3A,3F,3I,3J
366,ABDEFGHL,CIJK,3H,3G,3B,3D,3A,3F,3L,3E
367,ABDEFGHK,CIJL,3H,3G,3B,3D,3A,3F,3E,3K
368,ABDEFGHJ,CIKL,3H,3G,3B,3D,3A,3F,3E,3J
369,ABDEFGHI,CJKL,3H,3G,3B,3D,3A,3F,3E,3I
370,ABCHIJKL,DEFG,3I,3J,3B,3C,3A,3H,3L,3K
371,ABCGIJKL,DEFH,3I,3J,3B,3C,3A,3G,3L,3K
372,ABCGHJKL,DEFI,3H,3J,3B,3C,3A,3G,3L,3K
373,ABCGHIKL,DEFJ,3I,3G,3B,3C,3A,3H,3L,3K
374,ABCGHIJL,DEFK,3H,3J,3B,3C,3A,3G,3L,3I
375,ABCGHIJK,DEFL,3H,3J,3B,3C,3A,3G,3I,3K
376,ABCFIJKL,DEGH,3I,3J,3B,3C,3A,3F,3L,3K
377,ABCFHJKL,DEGI,3H,3J,3B,3C,3A,3F,3L,3K
378,ABCFHIKL,DEGJ,3H,3I,3B,3C,3A,3F,3L,3K
379,ABCFHIJL,DEGK,3H,3J,3B,3C,3A,3F,3L,3I
380,ABCFHIJK,DEGL,3H,3J,3B,3C,3A,3F,3I,3K
381,ABCFGJKL,DEHI,3C,3J,3B,3F,3A,3G,3L,3K
382,ABCFGIKL,DEHJ,3I,3G,3B,3C,3A,3F,3L,3K
383,ABCFGIJL,DEHK,3C,3J,3B,3F,3A,3G,3L,3I
384,ABCFGIJK,DEHL,3C,3J,3B,3F,3A,3G,3I,3K
385,ABCFGHKL,DEIJ,3H,3G,3B,3C,3A,3F,3L,3K
386,ABCFGHJL,DEIK,3H,3G,3B,3C,3A,3F,3L,3J
387,ABCFGHJK,DEIL,3H,3G,3B,3C,3A,3F,3J,3K
388,ABCFGHIL,DEJK,3H,3G,3B,3C,3A,3F,3L,3I
389,ABCFGHIK,DEJL,3H,3G,3B,3C,3A,3F,3I,3K
390,ABCFGHIJ,DEKL,3H,3G,3B,3C,3A,3F,3I,3J
391,ABCEIJKL,DFGH,3E,3J,3B,3A,3I,3C,3L,3K
392,ABCEHJKL,DFGI,3E,3J,3B,3C,3A,3H,3L,3K
393,ABCEHIKL,DFGJ,3E,3I,3B,3C,3A,3H,3L,3K
394,ABCEHIJL,DFGK,3E,3J,3B,3C,3A,3H,3L,3I
395,ABCEHIJK,DFGL,3E,3J,3B,3C,3A,3H,3I,3K
396,ABCEGJKL,DFHI,3E,3J,3B,3C,3A,3G,3L,3K
397,ABCEGIKL,DFHJ,3E,3G,3B,3A,3I,3C,3L,3K
398,ABCEGIJL,DFHK,3E,3J,3B,3C,3A,3G,3L,3I
399,ABCEGIJK,DFHL,3E,3J,3B,3C,3A,3G,3I,3K
400,ABCEGHKL,DFIJ,3E,3G,3B,3C,3A,3H,3L,3K
401,ABCEGHJL,DFIK,3H,3J,3B,3C,3A,3G,3L,3E
402,ABCEGHJK,DFIL,3H,3J,3B,3C,3A,3G,3E,3K
403,ABCEGHIL,DFJK,3E,3G,3B,3C,3A,3H,3L,3I
404,ABCEGHIK,DFJL,3E,3G,3B,3C,3A,3H,3I,3K
405,ABCEGHIJ,DFKL,3H,3J,3B,3C,3A,3G,3E,3I
406,ABCEFJKL,DGHI,3E,3J,3B,3C,3A,3F,3L,3K
407,ABCEFIKL,DGHJ,3E,3I,3B,3C,3A,3F,3L,3K
408,ABCEFIJL,DGHK,3E,3J,3B,3C,3A,3F,3L,3I
409,ABCEFIJK,DGHL,3E,3J,3B,3C,3A,3F,3I,3K
410,ABCEFHKL,DGIJ,3H,3E,3B,3C,3A,3F,3L,3K
411,ABCEFHJL,DGIK,3H,3J,3B,3C,3A,3F,3L,3E
412,ABCEFHJK,DGIL,3H,3J,3B,3C,3A,3F,3E,3K
413,ABCEFHIL,DGJK,3H,3E,3B,3C,3A,3F,3L,3I
414,ABCEFHIK,DGJL,3H,3E,3B,3C,3A,3F,3I,3K
415,ABCEFHIJ,DGKL,3H,3J,3B,3C,3A,3F,3E,3I
416,ABCEFGKL,DHIJ,3E,3G,3B,3C,3A,3F,3L,3K
417,ABCEFGJL,DHIK,3E,3G,3B,3C,3A,3F,3L,3J
418,ABCEFGJK,DHIL,3E,3G,3B,3C,3A,3F,3J,3K
419,ABCEFGIL,DHJK,3E,3G,3B,3C,3A,3F,3L,3I
420,ABCEFGIK,DHJL,3E,3G,3B,3C,3A,3F,3I,3K
421,ABCEFGIJ,DHKL,3E,3G,3B,3C,3A,3F,3I,3J
422,ABCEFGHL,DIJK,3H,3G,3B,3C,3A,3F,3L,3E
423,ABCEFGHK,DIJL,3H,3G,3B,3C,3A,3F,3E,3K
424,ABCEFGHJ,DIKL,3H,3G,3B,3C,3A,3F,3E,3J
425,ABCEFGHI,DJKL,3H,3G,3B,3C,3A,3F,3E,3I
426,ABCDIJKL,EFGH,3I,3J,3B,3C,3A,3D,3L,3K
427,ABCDHJKL,EFGI,3H,3J,3B,3C,3A,3D,3L,3K
428,ABCDHIKL,EFGJ,3H,3I,3B,3C,3A,3D,3L,3K
429,ABCDHIJL,EFGK,3H,3J,3B,3C,3A,3D,3L,3I
430,ABCDHIJK,EFGL,3H,3J,3B,3C,3A,3D,3I,3K
431,ABCDGJKL,EFHI,3C,3J,3B,3D,3A,3G,3L,3K
432,ABCDGIKL,EFHJ,3I,3G,3B,3C,3A,3D,3L,3K
433,ABCDGIJL,EFHK,3C,3J,3B,3D,3A,3G,3L,3I
434,ABCDGIJK,EFHL,3C,3J,3B,3D,3A,3G,3I,3K
435,ABCDGHKL,EFIJ,3H,3G,3B,3C,3A,3D,3L,3K
436,ABCDGHJL,EFIK,3H,3G,3B,3C,3A,3D,3L,3J
437,ABCDGHJK,EFIL,3H,3G,3B,3C,3A,3D,3J,3K
438,ABCDGHIL,EFJK,3H,3G,3B,3C,3A,3D,3L,3I
439,ABCDGHIK,EFJL,3H,3G,3B,3C,3A,3D,3I,3K
440,ABCDGHIJ,EFKL,3H,3G,3B,3C,3A,3D,3I,3J
441,ABCDFJKL,EGHI,3C,3J,3B,3D,3A,3F,3L,3K
442,ABCDFIKL,EGHJ,3C,3I,3B,3D,3A,3F,3L,3K
443,ABCDFIJL,EGHK,3C,3J,3B,3D,3A,3F,3L,3I
444,ABCDFIJK,EGHL,3C,3J,3B,3D,3A,3F,3I,3K
445,ABCDFHKL,EGIJ,3H,3F,3B,3C,3A,3D,3L,3K
446,ABCDFHJL,EGIK,3C,3J,3B,3D,3A,3F,3L,3H
447,ABCDFHJK,EGIL,3H,3J,3B,3C,3A,3F,3D,3K
448,ABCDFHIL,EGJK,3H,3F,3B,3C,3A,3D,3L,3I
449,ABCDFHIK,EGJL,3H,3F,3B,3C,3A,3D,3I,3K
450,ABCDFHIJ,EGKL,3H,3J,3B,3C,3A,3F,3D,3I
451,ABCDFGKL,EHIJ,3C,3G,3B,3D,3A,3F,3L,3K
452,ABCDFGJL,EHIK,3C,3G,3B,3D,3A,3F,3L,3J
453,ABCDFGJK,EHIL,3C,3G,3B,3D,3A,3F,3J,3K
454,ABCDFGIL,EHJK,3C,3G,3B,3D,3A,3F,3L,3I
455,ABCDFGIK,EHJL,3C,3G,3B,3D,3A,3F,3I,3K
456,ABCDFGIJ,EHKL,3C,3G,3B,3D,3A,3F,3I,3J
457,ABCDFGHL,EIJK,3C,3G,3B,3D,3A,3F,3L,3H
458,ABCDFGHK,EIJL,3H,3G,3B,3C,3A,3F,3D,3K
459,ABCDFGHJ,EIKL,3H,3G,3B,3C,3A,3F,3D,3J
460,ABCDFGHI,EJKL,3H,3G,3B,3C,3A,3F,3D,3I
461,ABCDEJKL,FGHI,3E,3J,3B,3C,3A,3D,3L,3K
462,ABCDEIKL,FGHJ,3E,3I,3B,3C,3A,3D,3L,3K
463,ABCDEIJL,FGHK,3E,3J,3B,3C,3A,3D,3L,3I
464,ABCDEIJK,FGHL,3E,3J,3B,3C,3A,3D,3I,3K
465,ABCDEHKL,FGIJ,3H,3E,3B,3C,3A,3D,3L,3K
466,ABCDEHJL,FGIK,3H,3J,3B,3C,3A,3D,3L,3E
467,ABCDEHJK,FGIL,3H,3J,3B,3C,3A,3D,3E,3K
468,ABCDEHIL,FGJK,3H,3E,3B,3C,3A,3D,3L,3I
469,ABCDEHIK,FGJL,3H,3E,3B,3C,3A,3D,3I,3K
470,ABCDEHIJ,FGKL,3H,3J,3B,3C,3A,3D,3E,3I
471,ABCDEGKL,FHIJ,3E,3G,3B,3C,3A,3D,3L,3K
472,ABCDEGJL,FHIK,3E,3G,3B,3C,3A,3D,3L,3J
473,ABCDEGJK,FHIL,3E,3G,3B,3C,3A,3D,3J,3K
474,ABCDEGIL,FHJK,3E,3G,3B,3C,3A,3D,3L,3I
475,ABCDEGIK,FHJL,3E,3G,3B,3C,3A,3D,3I,3K
476,ABCDEGIJ,FHKL,3E,3G,3B,3C,3A,3D,3I,3J
477,ABCDEGHL,FIJK,3H,3G,3B,3C,3A,3D,3L,3E
478,ABCDEGHK,FIJL,3H,3G,3B,3C,3A,3D,3E,3K
479,ABCDEGHJ,FIKL,3H,3G,3B,3C,3A,3D,3E,3J
480,ABCDEGHI,FJKL,3H,3G,3B,3C,3A,3D,3E,3I
481,ABCDEFKL,GHIJ,3C,3E,3B,3D,3A,3F,3L,3K
482,ABCDEFJL,GHIK,3C,3J,3B,3D,3A,3F,3L,3E
483,ABCDEFJK,GHIL,3C,3J,3B,3D,3A,3F,3E,3K
484,ABCDEFIL,GHJK,3C,3E,3B,3D,3A,3F,3L,3I
485,ABCDEFIK,GHJL,3C,3E,3B,3D,3A,3F,3I,3K
486,ABCDEFIJ,GHKL,3C,3J,3B,3D,3A,3F,3E,3I
487,ABCDEFHL,GIJK,3H,3F,3B,3C,3A,3D,3L,3E
488,ABCDEFHK,GIJL,3H,3E,3B,3C,3A,3F,3D,3K
489,ABCDEFHJ,GIKL,3H,3J,3B,3C,3A,3F,3D,3E
490,ABCDEFHI,GJKL,3H,3E,3B,3C,3A,3F,3D,3I
491,ABCDEFGL,HIJK,3C,3G,3B,3D,3A,3F,3L,3E
492,ABCDEFGK,HIJL,3C,3G,3B,3D,3A,3F,3E,3K
493,ABCDEFGJ,HIKL,3C,3G,3B,3D,3A,3F,3E,3J
494,ABCDEFGI,HJKL,3C,3G,3B,3D,3A,3F,3E,3I
495,ABCDEFGH,IJKL,3H,3G,3B,3C,3A,3F,3D,3E
