option,advancing_groups,eliminated_groups,vs_1A,vs_1B,vs_1D,vs_1E,vs_1G,vs_1I,vs_1K,vs_1L
79,BDEFGHIL,ACJK,3E,3G,3B,3D,3H,3F,3L,3I
80,BDEFGHIK,ACJL,3E,3G,3B,3D,3H,3F,3I,3K
81,BDEFGHIJ,ACKL,3H,3G,3B,3D,3J,3F,3E,3I
82,BCGHIJKL,ADEF,3H,3J,3B,3C,3I,3G,3L,3K
83,BCFHIJKL,ADEG,3H,3J,3B,3C,3I,3F,3L,3K
84,BCFGIJKL,ADEH,3I,3G,3B,3C,3J,3F,3L,3K
85,BCFGHJKL,ADEI,3H,3G,3B,3C,3J,3F,3L,3K
86,BCFGHIKL,ADEJ,3H,3G,3B,3C,3I,3F,3L,3K
87,BCFGHIJL,ADEK,3H,3G,3B,3C,3J,3F,3L,3I
88,BCFGHIJK,ADEL,3H,3G,3B,3C,3J,3F,3I,3K
89,BCEHIJKL,ADFG,3E,3J,3B,3C,3I,3H,3L,3K
90,BCEGIJKL,ADFH,3E,3J,3B,3C,3I,3G,3L,3K
91,BCEGHJKL,ADFI,3E,3J,3B,3C,3H,3G,3L,3K
92,BCEGHIKL,ADFJ,3E,3G,3B,3C,3I,3H,3L,3K
93,BCEGHIJL,ADFK,3E,3J,3B,3C,3H,3G,3L,3I
94,BCEGHIJK,ADFL,3E,3J,3B,3C,3H,3G,3I,3K
95,BCEFIJKL,ADGH,3E,3J,3B,3C,3I,3F,3L,3K
96,BCEFHJKL,ADGI,3E,3J,3B,3C,3H,3F,3L,3K
97,BCEFHIKL,ADGJ,3E,3I,3B,3C,3H,3F,3L,3K
98,BCEFHIJL,ADGK,3E,3J,3B,3C,3H,3F,3L,3I
99,BCEFHIJK,ADGL,3E,3J,3B,3C,3H,3F,3I,3K
100,BCEFGJKL,ADHI,3E,3G,3B,3C,3J,3F,3L,3K
101,BCEFGIKL,ADHJ,3E,3G,3B,3C,3I,3F,3L,3K
102,BCEFGIJL,ADHK,3E,3G,3B,3C,3J,3F,3L,3I
103,BCEFGIJK,ADHL,3E,3G,3B,3C,3J,3F,3I,3K
104,BCEFGHKL,ADIJ,3E,3G,3B,3C,3H,3F,3L,3K
105,BCEFGHJL,ADIK,3H,3G,3B,3C,3J,3F,3L,3E
106,BCEFGHJK,ADIL,3H,3G,3B,3C,3J,3F,3E,3K
107,BCEFGHIL,ADJK,3E,3G,3B,3C,3H,3F,3L,3I
108,BCEFGHIK,ADJL,3E,3G,3B,3C,3H,3F,3I,3K
109,BCEFGHIJ,ADKL,3H,3G,3B,3C,3J,3F,3E,3I
110,BCDHIJKL,AEFG,3H,3J,3B,3C,3I,3D,3L,3K
111,BCDGIJKL,AEFH,3I,3G,3B,3C,3J,3D,3L,3K
112,BCDGHJKL,AEFI,3H,3G,3B,3C,3J,3D,3L,3K
113,BCDGHIKL,AEFJ,3H,3G,3B,3C,3I,3D,3L,3K
114,BCDGHIJL,AEFK,3H,3G,3B,3C,3J,3D,3L,3I
115,BCDGHIJK,AEFL,3H,3G,3B,3C,3J,3D,3I,3K
116,BCDFIJKL,AEGH,3C,3J,3B,3D,3I,3F,3L,3K
117,BCDFHJKL,AEGI,3C,3J,3B,3D,3H,3F,3L,3K
118,BCDFHIKL,AEGJ,3C,3I,3B,3D,3H,3F,3L,3K
119,BCDFHIJL,AEGK,3C,3J,3B,3D,3H,3F,3L,3I
120,BCDFHIJK,AEGL,3C,3J,3B,3D,3H,3F,3I,3K
121,BCDFGJKL,AEHI,3C,3G,3B,3D,3J,3F,3L,3K
122,BCDFGIKL,AEHJ,3C,3G,3B,3D,3I,3F,3L,3K
123,BCDFGIJL,AEHK,3C,3G,3B,3D,3J,3F,3L,3I
124,BCDFGIJK,AEHL,3C,3G,3B,3D,3J,3F,3I,3K
125,BCDFGHKL,AEIJ,3C,3G,3B,3D,3H,3F,3L,3K
126,BCDFGHJL,AEIK,3C,3G,3B,3D,3H,3F,3L,3J
127,BCDFGHJK,AEIL,3H,3G,3B,3C,3J,3F,3D,3K
128,BCDFGHIL,AEJK,3C,3G,3B,3D,3H,3F,3L,3I
129,BCDFGHIK,AEJL,3C,3G,3B,3D,3H,3F,3I,3K
130,BCDFGHIJ,AEKL,3H,3G,3B,3C,3J,3F,3D,3I
131,BCDEIJKL,AFGH,3E,3J,3B,3C,3I,3D,3L,3K
132,BCDEHJKL,AFGI,3E,3J,3B,3C,3H,3D,3L,3K
133,BCDEHIKL,AFGJ,3E,3I,3B,3C,3H,3D,3L,3K
134,BCDEHIJL,AFGK,3E,3J,3B,3C,3H,3D,3L,3I
135,BCDEHIJK,AFGL,3E,3J,3B,3C,3H,3D,3I,3K
