internal_match_id,fifa_match_id,group,round,home_team,away_team,kickoff_utc,kickoff_local,kickoff_et,kickoff_time,source_url
WC2026-B26,26,B,2,Switzerland,Bosnia and Herzegovina,2026-06-18T19:00:00Z,2026-06-18 12:00,2026-06-18 15:00,2026-06-18 12:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-B27,27,B,2,Canada,Qatar,2026-06-18T22:00:00Z,2026-06-18 15:00,2026-06-18 18:00,2026-06-18 15:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-A28,28,A,2,Mexico,South Korea,2026-06-19T01:00:00Z,2026-06-18 19:00,2026-06-18 21:00,2026-06-18 19:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-C29,29,C,2,Brazil,Haiti,2026-06-20T01:00:00Z,2026-06-19 21:00,2026-06-19 21:00,2026-06-19 21:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-C30,30,C,2,Scotland,Morocco,2026-06-19T22:00:00Z,2026-06-19 18:00,2026-06-19 18:00,2026-06-19 18:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-D31,31,D,2,Turkey,Paraguay,2026-06-20T03:00:00Z,2026-06-19 20:00,2026-06-19 23:00,2026-06-19 20:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-D32,32,D,2,USA,Australia,2026-06-19T19:00:00Z,2026-06-19 12:00,2026-06-19 15:00,2026-06-19 12:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-E33,33,E,2,Germany,Ivory Coast,2026-06-20T20:00:00Z,2026-06-20 16:00,2026-06-20 16:00,2026-06-20 16:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-E34,34,E,2,Ecuador,Curacao,2026-06-21T00:00:00Z,2026-06-20 19:00,2026-06-20 20:00,2026-06-20 19:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-F35,35,F,2,Netherlands,Sweden,2026-06-20T17:00:00Z,2026-06-20 12:00,2026-06-20 13:00,2026-06-20 12:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
