match_id,home,away,version,actual_score,actual_result,actual_btts,actual_total_goals,top1_score,top3_scores,top1_hit,top3_hit,pred_home_win,pred_draw,pred_away_win,pred_btts,pred_over25,pred_over35,actual_score_probability,btts_log_loss,btts_brier,total_goals_bucket_log_loss,scoreline_family_hit
WC2026-D32,USA,Australia,v35_baseline,2-0,H,0,2,1-1,1-1;1-0;2-1,0,0,0.4493,0.2557,0.295,0.5233,0.4993,0.2831,0.081716,0.740786,0.273802,1.391038,1
WC2026-D32,USA,Australia,full_v36,2-0,H,0,2,1-1,1-1;1-0;2-0,0,1,0.4517,0.2546,0.2937,0.5133,0.4905,0.2779,0.086254,0.720015,0.263431,1.375742,1
WC2026-C29,Brazil,Haiti,v35_baseline,3-0,H,0,3,2-0,2-0;3-0;2-1,0,1,0.7495,0.1558,0.0947,0.5109,0.6576,0.4398,0.097353,0.715188,0.261019,1.524206,1
WC2026-C29,Brazil,Haiti,full_v36,3-0,H,0,3,2-0,2-0;3-0;2-1,0,1,0.7495,0.1558,0.0947,0.5109,0.6576,0.4398,0.097353,0.715188,0.261019,1.524206,1
WC2026-C30,Scotland,Morocco,v35_baseline,0-1,A,0,1,0-2,0-2;1-2;0-3,0,0,0.1283,0.1752,0.6965,0.5577,0.6593,0.4421,0.07863,0.815708,0.311,1.930877,1
WC2026-C30,Scotland,Morocco,full_v36,0-1,A,0,1,0-2,0-2;1-2;0-3,0,0,0.1283,0.1752,0.6965,0.5577,0.6593,0.4421,0.07863,0.815708,0.311,1.930877,1
WC2026-D31,Turkey,Paraguay,v35_baseline,0-1,A,0,1,1-1,1-1;2-1;1-0,0,0,0.4875,0.2326,0.2799,0.6122,0.6113,0.3906,0.052994,0.947204,0.374759,1.749298,1
WC2026-D31,Turkey,Paraguay,full_v36,0-1,A,0,1,1-1,1-1;2-1;1-0,0,0,0.4875,0.2326,0.2799,0.6122,0.6113,0.3906,0.052994,0.947204,0.374759,1.749298,1
