match_id,home_team,away_team,group_pressure_home,group_pressure_away,pressure_type_home,pressure_type_away,state_reason_code_home,state_reason_code_away,runtime_incentive_used,home_route_preference_label,away_route_preference_label,home_first_place_utility,away_first_place_utility,home_second_place_utility,away_second_place_utility,home_draw_acceptance_modifier,away_draw_acceptance_modifier,home_late_push_modifier,away_late_push_modifier,home_rotation_modifier,away_rotation_modifier,draw_utility_home,draw_utility_away,attack_conversion_home,attack_conversion_away,must_win_no_convert_home,must_win_no_convert_away,early_goal_cascade_index,cascade_tail_active,favorite,underdog,cold_draw_guard_score,cold_guard_active,deep_handicap_contra_flag,data_quality_score,data_quality_grade,active_flags
WC2026-L21,Ghana,Panama,0.2327,0.2327,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3733,0.3733,false,false,0.4147,false,Ghana,Panama,0.5303,false,false,0.35,degraded,
WC2026-L22,England,Croatia,0.2331,0.2331,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3733,0.3733,false,false,0.4908,false,England,Croatia,0.5303,false,false,0.35,degraded,
WC2026-K23,Portugal,DR Congo,0.2331,0.2331,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3733,0.3733,false,false,0.4539,false,Portugal,DR Congo,0.5303,false,false,0.35,degraded,
WC2026-K24,Uzbekistan,Colombia,0.2326,0.2326,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3733,0.3733,false,false,0.444,false,Colombia,Uzbekistan,0.5303,false,false,0.35,degraded,
WC2026-A25,Czechia,South Africa,0.5108,0.5378,must_win,must_win,R2_ZERO_POINTS_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,true,must_chase_first,must_chase_first,0.43,0.43,0.35,0.35,0.0,0.0,0.06,0.06,0.0,0.0,0.1,0.1,0.3774,0.2155,true,true,0.4673,false,Czechia,South Africa,0.5195,false,false,0.5,degraded,must_win_no_convert_home;must_win_no_convert_away
WC2026-B26,Switzerland,Bosnia and Herzegovina,0.2608,0.2653,low_pressure,low_pressure,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,true,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.45,0.45,0.494,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2939,0.3583,false,false,0.4327,false,Switzerland,Bosnia and Herzegovina,0.5462,false,false,0.5,degraded,
WC2026-B27,Canada,Qatar,0.23,0.228,low_pressure,low_pressure,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,true,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.45,0.45,0.494,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3217,0.3663,false,false,0.501,false,Canada,Qatar,0.5407,false,false,0.5,degraded,
WC2026-A28,Mexico,South Korea,0.3526,0.2121,prefer_win,low_pressure,CONTROL_DESTINY,R2_THREE_POINTS_DRAW_TO_FOUR,true,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.43,0.43,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.45,0.3441,0.3605,false,false,0.4224,false,Mexico,South Korea,0.5437,false,false,0.5,degraded,
WC2026-C29,Brazil,Haiti,0.4977,0.53,must_win,must_win,MUST_WIN_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,true,must_chase_first,must_chase_first,0.317,0.317,0.376,0.376,0.0,0.0,0.06,0.06,0.0,0.0,0.1,0.1,0.3182,0.2733,true,false,0.4269,false,Brazil,Haiti,0.6131,true,false,0.6,low,must_win_no_convert_home;cold_guard_active
WC2026-C30,Scotland,Morocco,0.3461,0.4786,prefer_win,must_win,CONTROL_DESTINY,MUST_WIN_SURVIVAL,true,route_avoidance_blocked_by_qualification_need,must_chase_first,0.317,0.317,0.376,0.376,0.0,0.0,0.0,0.06,0.0,0.0,0.3,0.1,0.3291,0.3093,false,true,0.4744,false,Morocco,Scotland,0.5677,false,false,0.6,low,must_win_no_convert_away
WC2026-D31,Turkey,Paraguay,0.5125,0.5844,must_win,must_win,R2_ZERO_POINTS_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,true,must_chase_first,must_chase_first,0.554,0.554,0.491,0.491,0.0,0.0,0.06,0.06,0.0,0.0,0.1,0.1,0.354,0.2521,false,true,0.5848,false,Turkey,Paraguay,0.4414,false,false,0.6,low,must_win_no_convert_away
WC2026-D32,USA,Australia,0.3444,0.2109,prefer_win,low_pressure,CONTROL_DESTINY,R2_THREE_POINTS_DRAW_TO_FOUR,true,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.554,0.554,0.491,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.45,0.3661,0.2536,false,false,0.4297,false,Australia,USA,0.5543,false,false,0.65,low,
WC2026-E33,Germany,Ivory Coast,0.3446,0.2111,prefer_win,low_pressure,CONTROL_DESTINY,R2_THREE_POINTS_DRAW_TO_FOUR,true,route_avoidance_weak,route_avoidance_weak,0.382,0.382,0.206,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.45,0.3897,0.3132,false,false,0.4974,false,Germany,Ivory Coast,0.5346,false,false,0.65,low,
WC2026-E34,Ecuador,Curacao,0.5164,0.5867,must_win,must_win,R2_ZERO_POINTS_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,true,must_chase_first,must_chase_first,0.382,0.382,0.206,0.206,0.0,0.0,0.06,0.06,0.0,0.0,0.1,0.1,0.2526,0.337,true,true,0.4819,false,Ecuador,Curacao,0.6945,true,true,0.65,low,must_win_no_convert_home;must_win_no_convert_away;cold_guard_active;deep_handicap_contra
WC2026-F35,Netherlands,Sweden,0.4727,0.3577,must_win,prefer_win,MUST_WIN_SURVIVAL,CONTROL_DESTINY,true,must_chase_first,route_avoidance_blocked_by_qualification_need,0.25,0.25,0.167,0.167,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.3,0.3407,0.3526,true,false,0.4611,false,Netherlands,Sweden,0.5369,false,false,0.65,low,must_win_no_convert_home
WC2026-F36,Tunisia,Japan,0.6095,0.4951,must_win,must_win,R2_ZERO_POINTS_SURVIVAL,MUST_WIN_SURVIVAL,true,must_chase_first,must_chase_first,0.25,0.25,0.167,0.167,0.0,0.0,0.06,0.06,0.0,0.0,0.1,0.1,0.3284,0.331,true,true,0.5311,false,Japan,Tunisia,0.5288,false,false,0.65,low,must_win_no_convert_home;must_win_no_convert_away
WC2026-H37,Uruguay,Cape Verde,0.2714,0.2687,low_pressure,low_pressure,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,true,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.272,0.272,0.146,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2812,0.2263,false,false,0.5346,false,Uruguay,Cape Verde,0.5488,false,false,0.65,low,
WC2026-H38,Spain,Saudi Arabia,0.265,0.2527,low_pressure,low_pressure,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,true,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.272,0.272,0.146,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2372,0.3604,false,false,0.4705,false,Spain,Saudi Arabia,0.7076,true,true,0.65,low,cold_guard_active;deep_handicap_contra
WC2026-G39,Belgium,Iran,0.265,0.2527,low_pressure,low_pressure,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,true,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.476,0.476,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3139,0.3525,false,false,0.4325,false,Belgium,Iran,0.5422,false,false,0.65,low,
