team,period,matches,formation_base,pressing_height,build_up_style,attack_width,central_progression,transition_attack,set_piece_attack,set_piece_defense,low_block_quality,high_line_risk,rest_defense_quality,late_game_aggression,comeback_tendency,collapse_risk,chaos_index,break_low_block_score,defend_pressure_score,data_confidence,data_origin,source_url,is_estimated,confidence,last_updated,updated_at
Egypt,WC2026-R1,1,4-2-3-1,中位压迫,混合推进,-0.136924,-0.17188,0,0,-0.125686,-0.251372,0.188444,-0.188444,0,0,0.179607,0.034135,-0.124859,-0.203785,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/belgium-vs-egypt/2u3bhg,true,0.76,2026-06-18,2026-06-20
Iran,WC2026-R1,1,4-4-2,中位压迫,混合推进,-0.136924,-0.08594,0,0,-0.05212,-0.104241,0.042104,-0.042104,0,0,0.071558,0.080635,-0.079545,-0.059668,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/new-zealand-vs-iran/1ar30l,true,0.76,2026-06-18,2026-06-20
New Zealand,WC2026-R1,1,5-3-2,中位压迫,混合推进,-0.136924,0.08594,0,0,-0.249013,-0.498026,0.33242,-0.33242,0,0,0.340025,0.080635,0.011083,-0.404344,0.76,Yahoo Sports/Opta,https://sports.yahoo.com/soccer/breaking-news/article/iran-new-zealand-play-to-2-2-draw-to-keep-group-g-tied-up-with-1-point-apiece-030629071.html,true,0.76,2026-06-18,2026-06-20
Spain,WC2026-R1,1,4-3-3,高位压迫,控球推进,-0.136924,1.031282,0,0,0.590814,1.181627,-0.871067,0.871067,0,0,0.06468,0.3234,0.509536,1.114434,0.76,Opta Analyst,https://theanalyst.com/articles/how-cape-verde-frustrated-spain-world-cup-history-draw-shock,true,0.76,2026-06-18,2026-06-20
Cape Verde,WC2026-R1,1,5-3-2,低位/被动,直接打法,-0.136924,-1.031282,0,0,-0.81464,-1.629279,1.107468,-1.107468,0,0,1.121807,0.265993,-0.577998,-1.331409,0.76,Opta Analyst,https://theanalyst.com/articles/how-cape-verde-frustrated-spain-world-cup-history-draw-shock,true,0.76,2026-06-18,2026-06-20
Saudi Arabia,WC2026-R1,1,4-2-3-1,低位/被动,直接打法,-0.136924,-0.730492,0,0,-0.685417,-1.370835,0.924895,-0.924895,0,0,0.925698,0.148518,-0.419399,-1.042862,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/uruguay-vs-saudi-arabia/1izuvb,true,0.76,2026-06-18,2026-06-20
Uruguay,WC2026-R1,1,3-3-1-3,高位压迫,控球推进,-0.136924,0.730492,0,0,0.398228,0.796455,-0.558848,0.558848,0,0,0.041185,0.205926,0.350937,0.705234,0.76,Opta Analyst,https://theanalyst.com/articles/saudi-arabia-vs-uruguay-stats-world-cup-2026,true,0.76,2026-06-18,2026-06-20
France,WC2026-R1,1,4-2-3-1,中位压迫,混合推进,-0.136924,0.12891,0,0,0.478594,0.957189,-0.745199,0.745199,0,0,0.036849,0.184243,0.03374,0.873658,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/senegal-vs-france/1f8fvo,true,0.76,2026-06-18,2026-06-20
Senegal,WC2026-R1,1,4-3-3,中位压迫,混合推进,-0.136924,-0.12891,0,0,-0.130675,-0.261351,0.208296,-0.208296,0,0,0.219237,0.170158,-0.102202,-0.350255,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/senegal-vs-france/1f8fvo,true,0.76,2026-06-18,2026-06-20
Iraq,WC2026-R1,1,4-2-3-1,低位/被动,直接打法,-0.136924,-0.472671,0,0,-0.415077,-0.830154,0.526349,-0.526349,0,0,0.606578,0.395833,-0.283458,-0.927308,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/iraq-vs-norway/1oz68o,true,0.76,2026-06-18,2026-06-20
