generated_at,match_id,group,team,current_rank,current_points,current_gd,current_gf,qualification_secure_prob,possible_finish_positions,route_if_first,route_if_second,route_if_third,route_score_first,route_score_second,route_score_third,expected_route_difficulty_first,expected_route_difficulty_second,route_uncertainty,annex_scenarios_covered,best_route_position,route_preference_delta,route_avoidance_applicable,route_avoidance_strength,primary_route_reason,uncertainty_level,source,source_url,notes
2026-06-21T11:38:53Z,,A,Mexico,1,6,3,3,1.0,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2B,R32 vs best_third_pool (uncertain),0.5699,0.65,0.5165,0.5699,0.65,0.2165,495,third,0.0534,false,none,route_scores_too_close,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=clinched_top2
2026-06-21T11:38:53Z,,A,South Korea,2,3,0,2,0.8182,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2B,R32 vs best_third_pool (uncertain),0.5699,0.65,0.5165,0.5699,0.65,0.2165,495,third,0.1335,false,none,route_scores_too_close,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_not_lose
2026-06-21T11:38:53Z,,A,Czechia,3,1,-1,2,0.4898,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2B,R32 vs best_third_pool (uncertain),0.5699,0.65,0.5165,0.5699,0.65,0.2165,495,third,0.0,false,none,advancement_pressure_overrides_route,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_win
2026-06-21T11:38:53Z,,A,South Africa,4,1,-2,1,0.3737,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2B,R32 vs best_third_pool (uncertain),0.5699,0.65,0.5165,0.5699,0.65,0.2165,495,third,0.0,false,none,advancement_pressure_overrides_route,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_win
2026-06-21T11:38:53Z,,B,Canada,1,4,6,7,1.0,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2A,R32 vs best_third_pool (uncertain),0.5496,0.5056,0.5165,0.5496,0.5056,0.1754,495,second,0.044,false,none,route_scores_too_close,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=near_clinched
2026-06-21T11:38:53Z,,B,Switzerland,2,4,3,5,1.0,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2A,R32 vs best_third_pool (uncertain),0.5496,0.5056,0.5165,0.5496,0.5056,0.1754,495,second,0.0,false,none,route_scores_too_close,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=near_clinched
2026-06-21T11:38:53Z,,B,Bosnia and Herzegovina,3,1,-3,2,0.3711,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2A,R32 vs best_third_pool (uncertain),0.5496,0.5056,0.5165,0.5496,0.5056,0.1754,495,second,0.0109,false,none,advancement_pressure_overrides_route,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_win
2026-06-21T11:38:53Z,,B,Qatar,4,1,-6,1,0.1855,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2A,R32 vs best_third_pool (uncertain),0.5496,0.5056,0.5165,0.5496,0.5056,0.1754,495,second,0.0109,false,none,advancement_pressure_overrides_route,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_win
2026-06-21T11:38:53Z,,C,Brazil,1,4,3,4,0.963,1|2|3,R32 vs expected_2F,R32 vs expected_1F,R32 vs best_third_pool (uncertain),0.6833,0.6241,0.5165,0.6833,0.6241,0.1225,0,third,0.1668,false,none,route_scores_too_close,low,phase06B_bracket_route,internal_knockout_route_slots,path_state=top_slot_chase
2026-06-21T11:38:53Z,,C,Morocco,2,4,1,2,0.9815,1|2|3,R32 vs expected_2F,R32 vs expected_1F,R32 vs best_third_pool (uncertain),0.6833,0.6241,0.5165,0.6833,0.6241,0.1225,0,third,0.1076,false,none,route_scores_too_close,low,phase06B_bracket_route,internal_knockout_route_slots,path_state=top_slot_chase
2026-06-21T11:38:53Z,,C,Scotland,3,3,0,1,0.889,1|2|3,R32 vs expected_2F,R32 vs expected_1F,R32 vs best_third_pool (uncertain),0.6833,0.6241,0.5165,0.6833,0.6241,0.1225,0,third,0.0,false,none,advancement_pressure_overrides_route,low,phase06B_bracket_route,internal_knockout_route_slots,path_state=third_place_bubble
2026-06-21T11:38:53Z,,C,Haiti,4,0,-4,0,0.0,1|2|3,R32 vs expected_2F,R32 vs expected_1F,R32 vs best_third_pool (uncertain),0.6833,0.6241,0.5165,0.6833,0.6241,0.1225,0,third,0.0,false,none,route_avoidance_blocked_by_qualification_need,low,phase06B_bracket_route,internal_knockout_route_slots,path_state=eliminated
2026-06-21T11:38:53Z,,D,USA,1,6,5,6,1.0,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2G,R32 vs best_third_pool (uncertain),0.4461,0.5093,0.5165,0.4461,0.5093,0.2645,495,first,0.0,false,none,route_scores_too_close,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=clinched_top2
2026-06-21T11:38:53Z,,D,Australia,2,3,0,2,0.9193,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2G,R32 vs best_third_pool (uncertain),0.4461,0.5093,0.5165,0.4461,0.5093,0.2645,495,first,0.0632,false,none,route_scores_too_close,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_not_lose
2026-06-21T11:38:53Z,,D,Paraguay,3,3,-2,2,0.7543,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2G,R32 vs best_third_pool (uncertain),0.4461,0.5093,0.5165,0.4461,0.5093,0.2645,495,first,0.0704,false,none,advancement_pressure_overrides_route,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=third_place_bubble
2026-06-21T11:38:53Z,,D,Turkey,4,0,-3,0,0.0842,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2G,R32 vs best_third_pool (uncertain),0.4461,0.5093,0.5165,0.4461,0.5093,0.2645,495,first,0.0704,false,none,advancement_pressure_overrides_route,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_win_big
2026-06-21T11:38:53Z,,E,Germany,1,3,6,7,0.9408,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2I,R32 vs best_third_pool (uncertain),0.6182,0.7944,0.5165,0.6182,0.7944,0.2114,495,third,0.1017,true,weak,R32_first_vs_weighted_annex_c_third_score=0.62; R32_second_vs_expected_2I_score=0.79,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=control_destiny
2026-06-21T11:38:53Z,,E,Ivory Coast,2,3,1,1,0.9313,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2I,R32 vs best_third_pool (uncertain),0.6182,0.7944,0.5165,0.6182,0.7944,0.2114,495,third,0.2779,true,weak,R32_first_vs_weighted_annex_c_third_score=0.62; R32_second_vs_expected_2I_score=0.79,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_not_lose
2026-06-21T11:38:53Z,,E,Ecuador,3,0,-1,0,0.4284,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2I,R32 vs best_third_pool (uncertain),0.6182,0.7944,0.5165,0.6182,0.7944,0.2114,495,third,0.0,false,none,advancement_pressure_overrides_route,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_win
