match_id,field,processed_value,candidate_value,is_same
WC2026-C29,match_id,WC2026-C29,WC2026-C29,true
WC2026-C29,home,Brazil,Brazil,true
WC2026-C29,away,Haiti,Haiti,true
WC2026-C29,home_breakthrough_score,-0.231178,-0.231178,true
WC2026-C29,away_breakthrough_score,0.269718,0.269718,true
WC2026-C29,home_control_score,-0.155096,-0.155096,true
WC2026-C29,away_control_score,0.295804,0.295804,true
WC2026-C29,home_transition_edge,-0.54196,-0.54196,true
WC2026-C29,away_transition_edge,0.311121,0.311121,true
WC2026-C29,home_set_piece_edge,-0.269568,-0.269568,true
WC2026-C29,away_set_piece_edge,0.200253,0.200253,true
WC2026-C29,home_flank_edge,-0.269568,-0.269568,true
WC2026-C29,away_flank_edge,0.200254,0.200254,true
WC2026-C29,home_central_edge,-0.209843,-0.209843,true
WC2026-C29,away_central_edge,0.384231,0.384231,true
WC2026-C29,home_press_trap_edge,0,0,true
WC2026-C29,away_press_trap_edge,0.336671,0.336671,true
WC2026-C29,home_shape_countered_by_away,yes,yes,true
WC2026-C29,away_shape_countered_by_home,no,no,true
WC2026-C29,matchup_imbalance_index,0.829328,0.829328,true
WC2026-C29,likely_breakthrough_path_home,无明显单点破阵路径,无明显单点破阵路径,true
WC2026-C29,likely_breakthrough_path_away,边路宽度/套边制造入口,边路宽度/套边制造入口,true
WC2026-C29,likely_defensive_survival_path_home,需要依赖门将/个人防守质量,需要依赖门将/个人防守质量,true
WC2026-C29,likely_defensive_survival_path_away,低位密度压缩禁区；反抢/防反保护较好,低位密度压缩禁区；反抢/防反保护较好,true
WC2026-C29,data_confidence,0.72,0.72,true
WC2026-C29,__row_hash__,355108733cbf04db0575fd08075457e7a083110206efff4a4bf95427446f6fa7,355108733cbf04db0575fd08075457e7a083110206efff4a4bf95427446f6fa7,true
WC2026-C30,match_id,WC2026-C30,WC2026-C30,true
WC2026-C30,home,Scotland,Scotland,true
WC2026-C30,away,Morocco,Morocco,true
WC2026-C30,home_breakthrough_score,-0.003531,-0.003531,true
WC2026-C30,away_breakthrough_score,-0.107781,-0.107781,true
WC2026-C30,home_control_score,0.033161,0.033161,true
WC2026-C30,away_control_score,-0.068862,-0.068862,true
WC2026-C30,home_transition_edge,0.0956,0.0956,true
WC2026-C30,away_transition_edge,-0.201483,-0.201483,true
WC2026-C30,home_set_piece_edge,0.029666,0.029666,true
WC2026-C30,away_set_piece_edge,-0.075719,-0.075719,true
WC2026-C30,home_flank_edge,0.029666,0.029666,true
WC2026-C30,away_flank_edge,-0.075719,-0.075719,true
WC2026-C30,home_central_edge,-0.078536,-0.078536,true
WC2026-C30,away_central_edge,-0.147917,-0.147917,true
WC2026-C30,home_press_trap_edge,0.126452,0.126452,true
WC2026-C30,away_press_trap_edge,0,0,true
WC2026-C30,home_shape_countered_by_away,no,no,true
WC2026-C30,away_shape_countered_by_home,no,no,true
WC2026-C30,matchup_imbalance_index,0.199375,0.199375,true
WC2026-C30,likely_breakthrough_path_home,无明显单点破阵路径,无明显单点破阵路径,true
WC2026-C30,likely_breakthrough_path_away,无明显单点破阵路径,无明显单点破阵路径,true
WC2026-C30,likely_defensive_survival_path_home,需要依赖门将/个人防守质量,需要依赖门将/个人防守质量,true
WC2026-C30,likely_defensive_survival_path_away,需要依赖门将/个人防守质量,需要依赖门将/个人防守质量,true
WC2026-C30,data_confidence,0.7,0.7,true
WC2026-C30,__row_hash__,b216e2eb70fa300bc57275b43a729e2de294fa65203c21382e53b3c4d060d187,b216e2eb70fa300bc57275b43a729e2de294fa65203c21382e53b3c4d060d187,true
WC2026-D31,match_id,WC2026-D31,WC2026-D31,true
WC2026-D31,home,Turkey,Turkey,true
WC2026-D31,away,Paraguay,Paraguay,true
WC2026-D31,home_breakthrough_score,0.620365,0.620365,true
WC2026-D31,away_breakthrough_score,-0.315366,-0.315366,true
WC2026-D31,home_control_score,0.395531,0.395531,true
WC2026-D31,away_control_score,-0.435875,-0.435875,true
WC2026-D31,home_transition_edge,0.334719,0.334719,true
WC2026-D31,away_transition_edge,-0.122885,-0.122885,true
WC2026-D31,home_set_piece_edge,0.313039,0.313039,true
WC2026-D31,away_set_piece_edge,-0.144329,-0.144329,true
WC2026-D31,home_flank_edge,0.313038,0.313038,true
WC2026-D31,away_flank_edge,-0.144329,-0.144329,true
WC2026-D31,home_central_edge,1.147805,1.147805,true
WC2026-D31,away_central_edge,-0.644708,-0.644708,true
WC2026-D31,home_press_trap_edge,1.416387,1.416387,true
WC2026-D31,away_press_trap_edge,0.055662,0.055662,true
WC2026-D31,home_shape_countered_by_away,no,no,true
WC2026-D31,away_shape_countered_by_home,yes,yes,true
WC2026-D31,matchup_imbalance_index,1.318244,1.318244,true
WC2026-D31,likely_breakthrough_path_home,边路宽度/套边制造入口；中路/肋部推进；定位球破局,边路宽度/套边制造入口；中路/肋部推进；定位球破局,true
WC2026-D31,likely_breakthrough_path_away,无明显单点破阵路径,无明显单点破阵路径,true
WC2026-D31,likely_defensive_survival_path_home,低位密度压缩禁区,低位密度压缩禁区,true
WC2026-D31,likely_defensive_survival_path_away,需要依赖门将/个人防守质量,需要依赖门将/个人防守质量,true
WC2026-D31,data_confidence,0.72,0.72,true
WC2026-D31,__row_hash__,a1cf6baca862cfb0d4b513e8ef53a647a51577dea1cab7be03a0d2e92554b75c,a1cf6baca862cfb0d4b513e8ef53a647a51577dea1cab7be03a0d2e92554b75c,true
WC2026-D32,match_id,WC2026-D32,WC2026-D32,true
WC2026-D32,home,USA,USA,true
WC2026-D32,away,Australia,Australia,true
