team,period,matches,formation_base,pressing_height,build_up_style,attack_width,central_progression,transition_attack,set_piece_attack,set_piece_defense,low_block_quality,high_line_risk,rest_defense_quality,late_game_aggression,comeback_tendency,collapse_risk,chaos_index,break_low_block_score,defend_pressure_score,data_confidence,data_origin,source_url,is_estimated,confidence,last_updated,updated_at
Brazil,WC2026-R1,1,4-4-2,中位压迫,混合推进,0,0.038188,0,0,-0.200253,-0.400507,0.311121,-0.311121,0,0,0.336671,0.282445,0.020136,-0.462956,0.88,FotMob/Opta,https://www.fotmob.com/en-GB/matches/morocco-vs-brazil/1qr4gd,false,0.88,2026-06-19,2026-06-19
Haiti,WC2026-R1,1,4-4-2,低位/被动,混合推进,0,0.152753,0,0,0.269568,0.539136,-0.54196,0.54196,0,0,0,0,0.080542,0.496063,0.88,FotMob/Opta,https://www.fotmob.com/en-GB/matches/haiti-vs-scotland/1q0g2q,false,0.88,2026-06-19,2026-06-19
Scotland,WC2026-R1,1,4-4-2,低位/被动,混合推进,0,-0.152753,0,0,0.075719,0.151439,-0.201483,0.201483,0,0,0,0,-0.080542,0.219457,0.88,FotMob/Opta,https://www.fotmob.com/en-GB/matches/haiti-vs-scotland/1q0g2q,false,0.88,2026-06-19,2026-06-19
Morocco,WC2026-R1,1,4-2-3-1,中位压迫,混合推进,0,-0.038188,0,0,-0.029666,-0.059331,0.0956,-0.0956,0,0,0.126452,0.313331,-0.020136,-0.148433,0.88,FotMob/Opta,https://www.fotmob.com/en-GB/matches/morocco-vs-brazil/1qr4gd,false,0.88,2026-06-19,2026-06-19
Turkey,WC2026-R1,1,4-2-3-1,高位压迫,控球推进,0,0.840139,0,0,0.144329,0.288658,-0.122885,0.122885,0,0,0.055662,0.278311,0.442982,0.143772,0.88,FotMob/Opta,https://www.fotmob.com/en-GB/matches/turkiye-vs-australia/1gr3uk,false,0.88,2026-06-19,2026-06-19
Australia,WC2026-R1,1,4-2-3-1,低位/被动,直接打法,0,-0.840139,0,0,-0.70755,-1.415099,0.982666,-0.982666,0,0,0.978209,0.203623,-0.442982,-1.112228,0.88,FotMob/Opta,https://www.fotmob.com/en-GB/matches/turkiye-vs-australia/1gr3uk,false,0.88,2026-06-19,2026-06-19
USA,WC2026-R1,1,4-1-2-3,高位压迫,控球推进,0,0.572822,0,0,0.760891,1.521782,-0.857778,0.857778,0,0,0.102678,0.513388,0.302033,1.479656,0.88,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,false,0.88,2026-06-19,2026-06-19
Paraguay,WC2026-R1,1,4-4-2,低位/被动,直接打法,0,-0.572822,0,0,-0.313039,-0.626077,0.334719,-0.334719,0,0,0.416387,0.233181,-0.302033,-0.615332,0.88,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,false,0.88,2026-06-19,2026-06-19
