matchNumStr,matchKey,matchDate,homeTeam,awayTeam,homeTeamEn,awayTeamEn,homeTeamCode,awayTeamCode,homeTeamOddsName,awayTeamOddsName,score,code,sp
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,2:0,s02s00,6.50
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,2:1,s02s01,6.50
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,2:2,s02s02,18.50
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,2:3,s02s03,70.00
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,2:4,s02s04,300.0
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,2:5,s02s05,600.0
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,3:0,s03s00,8.50
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,3:1,s03s01,8.75
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,3:2,s03s02,22.00
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,3:3,s03s03,70.00
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,4:0,s04s00,17.00
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,4:1,s04s01,19.00
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,4:2,s04s02,45.00
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,5:0,s05s00,35.00
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,5:1,s05s01,40.00
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,5:2,s05s02,80.00
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,负其他,s1sa,300.0
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,平其他,s1sd,350.0
周日038,,2026-06-22,比利时,伊朗,比利时,伊朗,,,比利时,伊朗,胜其他,s1sh,27.50
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,0:0,s00s00,8.50
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,0:1,s00s01,15.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,0:2,s00s02,45.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,0:3,s00s03,175.0
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,0:4,s00s04,600.0
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,0:5,s00s05,800.0
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,1:0,s01s00,4.95
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,1:1,s01s01,7.30
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,1:2,s01s02,26.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,1:3,s01s03,120.0
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,1:4,s01s04,500.0
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,1:5,s01s05,800.0
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,2:0,s02s00,5.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,2:1,s02s01,7.40
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,2:2,s02s02,27.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,2:3,s02s03,120.0
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,2:4,s02s04,500.0
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,2:5,s02s05,800.0
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,3:0,s03s00,7.60
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,3:1,s03s01,12.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,3:2,s03s02,50.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,3:3,s03s03,120.0
