matchNumStr,matchKey,matchDate,homeTeam,awayTeam,homeTeamEn,awayTeamEn,homeTeamCode,awayTeamCode,homeTeamOddsName,awayTeamOddsName,goals,sp
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,2,3.10
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,3,3.75
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,4,6.50
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,5,14.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,6,26.00
周日039,,2026-06-22,乌拉圭,佛得角,乌拉圭,佛得角,,,乌拉圭,佛得角,7+,36.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,0,10.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,1,4.30
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,2,3.20
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,3,3.60
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,4,6.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,5,12.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,6,21.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,7+,30.00
